,EPIC,Unnamed: 0,angDist,gmag,rmag,imag,zmag,ymag,J,H,K,RAJ2000,DEJ2000,spec_class,T,logT,BCv,Mv,logL,B-V,Bt-Vt,V-G,U-B,V-Rc,V-Ic,V-Ks,J-H,H-K,Ks-W1,W1-W2,W1-W3,W1-W4,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,R_Rsun,#SpT.1,lum_class,u_g,g_r,r_i,i_z,z_J,J_H,H_K,Jmag_abs,T_err,R_Rsun_err,Mbol_err,72,L_quiet,L_quiet_bol,L_quiet_err,L_quiet_bol_err,g_i,J_K,r_z,g_z,J-K,SDSS_g,PS1_g,SDSS_r,PS1_r,SDSS_i,PS1_i,SDSS_z,PS1_z,SDSS_y,PS1_y
652,212025163,41.0,0.070464,9.767,9.604,9.578,9.588,9.59,8.794,8.635,8.586,130.41672151,20.67220539,F5,6510.0,3.814,-0.04,3.4,0.54,0.43799999999999994,0.455,0.132,-0.028999999999999998,0.252,0.506,1.079,0.17300000000000001,0.054000000000000006,0.027999999999999997,-0.03,-0.045,-0.004,1.33,9.3,0.29,2.55,2.32,3.36,,,1.46,F5V,V  ,1.09,0.26,0.03,-0.02,0.71,0.22,0.0,2.62,150.44378795084714,0.292,0.08499999999999996,,2.795425514183496e+32,9.21151840903485e+34,8.060930582680416e+31,1.8028759226611287e+34,0.18900000000000186,0.20800000000000016,0.016000000000000014,0.17900000000000205,0.20800000000000016,9.81009356021227,9.767,9.628225169561016,9.604,9.56703633987602,9.578,9.585613202025899,9.588,9.53668352287629,9.59
653,212025207,59.0,0.926291,12.6657,11.7161,11.5141,11.4284,11.4249,10.353,9.909,9.808,127.43477807,20.67306437,K3,4830.0,3.684,-0.41,6.57,-0.58,0.98,1.15,0.376,0.7759999999999999,0.537,1.013,2.38,0.483,0.109,0.033,-0.071,-0.031,-0.008,0.78,,,4.76,4.16,6.16,,,0.7290000000000001,K3V,V  ,2.1,0.85,0.32,0.13,0.99,0.58,0.01,4.94,209.99999999915192,0.1458,0.14000000000000012,,1.9224915655288019e+31,1.459927281870955e+32,7.876361928480843e+30,4.706249514527933e+31,1.1516000000000002,0.5449999999999999,0.2877000000000009,1.2372999999999994,0.5449999999999999,12.817393650770455,12.6657,11.749534797178216,11.7161,11.507016913975335,11.5141,11.386360150213944,11.4284,11.475978263903102,11.4249
654,212025597,76.0,0.6668930000000001,20.6876,19.3803,17.5493,16.6709,16.2099,14.832,14.296,13.890999999999998,129.08049022,20.67957408,M5,3030.0,3.4810000000000003,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.2769999999999997,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.19899999999999998,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439076998,0.0398,0.25,,8.021215831913957e+28,2.0152606473591297e+27,2.551121693927748e+28,1.1600772812766656e+27,3.138300000000001,0.9410000000000024,2.7093999999999987,4.0167,0.9410000000000024,20.997727477748867,20.6876,19.426134611537787,19.3803,17.561580062862753,17.5493,16.523921750284703,16.6709,16.51001138618543,16.2099
655,212025613,72.0,0.767107,17.519000000000002,16.3269,15.1774,14.6709,14.4289,13.226,12.578,12.294,129.29939854,20.67978927,M3,3410.0,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.62279942000255,0.0738,0.14499999999999955,,6.484488809329398e+29,1.4266952797331432e+29,2.8165829772900166e+29,4.76337656086982e+28,2.341600000000001,0.9319999999999986,1.6559999999999988,2.8481000000000023,0.9319999999999986,17.772489477115595,17.519000000000002,16.357443469665352,16.3269,15.17889429904647,15.1774,14.587904625703064,14.6709,14.573896056501775,14.4289
656,212025814,70.0,0.574001,16.0645,14.8663,14.0405,13.6611,13.4428,12.324000000000002,11.664,11.454,129.02613537,20.68326572,M2,3550.0,3.55,-1.65,10.3,-1.57,1.5,,1.0859999999999999,1.17,1.001,2.173,4.24,0.6,0.23399999999999999,0.11,,,,0.48,,,6.89,6.06,8.65,0.53,,0.434,M2V,V  ,2.59,1.43,0.85,0.52,1.33,0.69,0.15,6.23,76.37626158015652,0.0868,0.125,,1.1620251549648296e+30,4.724232079919543e+29,3.857144558204613e+29,1.3597432953833746e+29,2.023999999999999,0.870000000000001,1.2052000000000014,2.4033999999999995,0.870000000000001,16.29340164961792,16.0645,14.89632231649792,14.8663,14.039001312337922,14.0405,13.592687968486398,13.6611,13.554120224803839,13.4428
657,212025985,70.0,0.6018060000000001,16.2439,15.0388,14.2029,13.8405,13.6475,12.507,11.872,11.634,129.06455649,20.68598883,M2,3550.0,3.55,-1.65,10.3,-1.57,1.5,,1.0859999999999999,1.17,1.001,2.173,4.24,0.6,0.23399999999999999,0.11,,,,0.48,,,6.89,6.06,8.65,0.53,,0.434,M2V,V  ,2.59,1.43,0.85,0.52,1.33,0.69,0.15,6.23,76.37626158015652,0.0868,0.125,,1.1620251549648296e+30,4.724232079919543e+29,3.857144558204613e+29,1.3597432953833746e+29,2.0410000000000004,0.8729999999999993,1.1982999999999997,2.4033999999999995,0.8729999999999993,16.47415702529543,16.2439,15.06880100673918,15.0388,14.20154590039418,14.2029,13.771415192723099,13.8405,13.76035303002161,13.6475
658,212026716,74.0,0.46687,20.2711,18.9965,17.1578,16.3139,15.9011,14.595,13.869000000000002,13.718,132.24946328,20.69874241,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000002,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,3.113299999999999,0.8770000000000007,2.6826000000000008,3.9572,0.8770000000000007,20.579521291131336,20.2711,19.04143362771058,18.9965,17.16965818978179,17.1578,16.169711990865032,16.3139,16.194295861943438,15.9011
659,212026805,74.0,0.6267159999999999,20.5666,19.3747,17.6514,16.8374,16.4398,15.143,14.553,14.264,130.07045942,20.70012053,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000002,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,2.9152000000000022,0.8789999999999978,2.537300000000002,3.7292000000000014,0.8789999999999978,20.861385022408054,20.5666,19.41360049337893,19.3747,17.66012107745829,17.6514,16.713303663074505,16.8374,16.683507922610914,16.4398
660,212026921,59.0,0.577902,13.022,12.402,12.178,12.071,11.988,11.015,10.545,10.436,128.31409685,20.70243734,K3,4830.0,3.684,-0.41,6.57,-0.58,0.98,1.15,0.376,0.7759999999999999,0.537,1.013,2.38,0.483,0.109,0.033,-0.071,-0.031,-0.008,0.78,,,4.76,4.16,6.16,,,0.7290000000000001,K3V,V  ,2.1,0.85,0.32,0.13,0.99,0.58,0.01,4.94,209.99999999915192,0.1458,0.14000000000000012,,1.9224915655288019e+31,1.459927281870955e+32,7.876361928480843e+30,4.706249514527933e+31,0.8440000000000012,0.5790000000000006,0.3310000000000013,0.9510000000000004,0.5790000000000006,13.14209557543872,13.022,12.435298424318718,12.402,12.169554560958721,12.178,12.0383115660224,12.071,12.015847885165439,11.988
661,212027377,74.0,0.667894,19.5224,18.3047,16.7133,15.989,15.633,14.367,13.662,13.401,132.64681794,20.71038462,M4,3200.0,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.2409999999999999,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.37626158012442,0.05160000000000002,0.375,,1.9962288137863124e+29,1.3011615595745358e+28,7.167790189866423e+28,1.1235132039949538e+28,2.8091000000000013,0.9660000000000012,2.3157,3.5334000000000003,0.9660000000000012,19.809777116952258,19.5224,18.34111781303805,18.3047,16.72048501419279,16.7133,15.874285236352819,15.989,15.85382170209231,15.633
