,Unnamed: 0,EPIC,angDist,gmag,rmag,imag,zmag,ymag,J,H,K,RAJ2000,DEJ2000,spec_class,T,logT,BCv,Mv,logL,B-V,Bt-Vt,V-G,U-B,V-Rc,V-Ic,V-Ks,J-H,H-K,Ks-W1,W1-W2,W1-W3,W1-W4,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,R_Rsun,#SpT.1,lum_class,u_g,g_r,r_i,i_z,z_J,J_H,H_K,Jmag_abs,T_err,R_Rsun_err,Mbol_err,L_quiet,L_quiet_bol,L_quiet_err,L_quiet_bol_err,g_z,g_i,J_K,r_z,J-K,SDSS_g,PS1_g,SDSS_r,PS1_r,SDSS_i,PS1_i,SDSS_z,PS1_z,SDSS_y,PS1_y,thresh20p
625,625,211125179,0.603376,18.6125,17.4159,15.7015,14.917,14.5577,13.172,12.579,12.285,56.75422683,24.98248366,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631e+29,1.30116155957454e+28,7.16779018986642e+28,1.12351320399495e+28,3.6955,2.911,0.887,2.4989,0.887,18.906993322166734,18.6125,17.454692772372987,17.4159,15.71015841087798,15.7015,14.793292554444099,14.917,14.800456090596715,14.5577,721.866273086803
626,626,211125210,0.840725,11.1594,9.9314,10.4477,9.8496,9.6768,9.535,9.219,9.137,57.91863808,24.98297905,G9,5340,3.728,-0.21,5.55,-0.25,0.777,0.894,0.267,0.358,0.423,0.82,1.861,0.365,0.087,0.029,-0.06,-0.038,-0.018000000000000002,0.9,,,4.14,3.69,5.34,,,0.8759999999999999,G9V,,,,,,,,,,108.166538262309,0.1752,0.095,4.47370246437713e+31,9.6456438969968e+32,1.29858019005806e+31,2.10994200570761e+32,1.3098,0.7117,0.398,0.0818,0.398,11.26506381533432,11.1594,9.96399881126722,9.9314,10.438721581933557,10.4477,9.82162184986034,9.8496,9.692473089999664,9.6768,15.476033310691863
627,627,211125236,0.8728819999999999,18.1059,16.8357,15.2499,14.5244,14.1814,12.866,12.272,12.013,56.58282955,24.98355731,M3.5,3250,3.512,-2.27,12.19,-2.07,1.602,,1.467,1.2,1.178,2.68,5.0,0.5579999999999999,0.269,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.29100000000000004,M3.5V,,,,,,,,,,109.69655114431299,0.0582,0.375,2.95712323773491e+29,2.53706284034917e+28,1.24695916365012e+29,2.19067615356642e+28,3.5815,2.8560000000000003,0.853,2.3113,0.853,18.396561971809284,18.1059,16.873154835809277,16.8357,15.257752024289283,15.2499,14.405650538777596,14.5244,14.412044354370561,14.1814,419.22771928681874
628,628,211126627,0.732416,17.3184,16.0979,14.7594,14.1447,13.8716,12.586,11.954,11.72,57.17567716,25.00771417,M3,3410,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.62279942000299,0.0738,0.145,6.4844888093294e+29,1.42669527973314e+29,2.8165829772900197e+29,4.76337656086982e+28,3.1737,2.559,0.866,1.9532,0.866,17.58793637385857,17.3184,16.130256307144823,16.0979,14.763333389009821,14.7594,14.0487320178969,14.1447,14.047257498276393,13.8716,379.3525055966817
629,629,211127164,0.75615,19.4827,18.1726,16.3121,15.4263,15.0079,13.629,13.049,12.724,58.14723305,25.01780862,M5,3030,3.4810000000000003,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.277,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.199,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439076999,0.0398,0.25,8.021215831913963e+28,2.01526064735913e+27,2.55112169392775e+28,1.16007728127667e+27,4.0564,3.1706,0.9049999999999988,2.7463,0.9049999999999988,19.79502785950459,19.4827,18.21964764691329,18.1726,16.32493401569981,16.3121,15.275628037061233,15.4263,15.317180175777548,15.0079,374.634197034613
630,630,211127297,0.8667879999999999,19.1171,17.8354,16.2357,15.4825,15.1305,13.86,13.209,12.968,58.01499431,25.02032768,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631e+29,1.30116155957454e+28,7.16779018986642e+28,1.12351320399495e+28,3.6346,2.8814,0.8919999999999989,2.3529,0.8919999999999989,19.409534053229773,19.1171,17.873456074952465,17.8354,16.243921153208348,16.2357,15.361491715070619,15.4825,15.366656945976484,15.1305,443.0392151062346
631,631,211127395,0.867603,20.6169,19.2959,17.3843,16.4581,15.9959,14.602,13.987,13.613,57.16924202,25.02204348,M5,3030,3.4810000000000003,-3.28,14.3,-2.52,1.874,,,1.24,1.446,3.277,5.94,0.58,0.311,,0.17,,,0.15,,,9.25,8.36,11.02,0.91,0.47,0.199,M5V,V  ,3.05,1.59,1.73,0.94,1.96,0.86,0.24,7.39,51.31601439076999,0.0398,0.25,8.021215831913963e+28,2.01526064735913e+27,2.55112169392775e+28,1.16007728127667e+27,4.1588,3.2326,0.989000000000001,2.8378,0.989000000000001,20.93344010715822,20.6169,19.345434642921028,19.2959,17.398225827480747,17.3843,16.300051457775613,16.4581,16.323535722219635,15.9959,5826.128637680815
632,632,211127537,0.85511,18.5453,17.2921,15.7842,15.0727,14.7541,13.46,12.855,12.647,58.00691484,25.02464218,M3.5,3250,3.512,-2.27,12.19,-2.07,1.602,,1.467,1.2,1.178,2.68,5.0,0.5579999999999999,0.269,0.132,,,,0.28,,,8.02,7.19,9.92,0.66,,0.29100000000000004,M3.5V,,,,,,,,,,109.69655114431299,0.0582,0.375,2.95712323773491e+29,2.53706284034917e+28,1.24695916365012e+29,2.19067615356642e+28,3.4726,2.7611,0.813000000000001,2.2194,0.813000000000001,18.829297043097146,18.5453,17.327551663233532,17.2921,15.790721615659475,15.7842,14.961936578212034,15.0727,14.965333678728195,14.7541,312.26040818694565
633,633,211127799,0.64356,17.3464,16.0638,14.7724,14.1799,13.8924,12.588,11.906,11.688,60.06614041,25.02942077,M3,3410,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.62279942000299,0.0738,0.145,6.4844888093294e+29,1.42669527973314e+29,2.8165829772900197e+29,4.76337656086982e+28,3.1665,2.574,0.8999999999999989,1.8839,0.8999999999999989,17.617023585499922,17.3464,16.09633572862992,16.0638,14.77651449146992,14.7724,14.0829302584264,14.1799,14.07044794161784,13.8924,4663.750576987533
634,634,211128116,0.740888,18.8297,17.5463,15.8772,15.1095,14.7443,13.418,12.844,12.552,58.35213972,25.03515325,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.8310000000000004,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631e+29,1.30116155957454e+28,7.16779018986642e+28,1.12351320399495e+28,3.7202,2.9525,0.866,2.4368,0.866,19.12707042050047,18.8297,17.586192552605937,17.5463,15.886484476340316,15.8772,14.981884597704687,15.1095,14.996632436997032,14.7443,269.9378941401576
