angDist,col1,EPIC,Name,RAJ2000,DEJ2000,OName,Vmag,Ksmag,(V-K)0,Prot,Per2,Per3,Per4,Amp,LC,Mm,LPer,H10,vsini,PapIII,PapII,f_EPIC,t,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
0.816023,779,2.11078009E8,034544.40+241313.1,56.43504,24.22033,HII761,10.56,8.75,1.7,,,,,,,best,,,,1.0,,a,,137060564349994602, 56.435163560, 24.220133320,0.312,0.312,90,1375809536,164,56598.606469910,5,48,10.8500,0.0010,10.7516,0.0010,115768,10.1545,0.0760,12.5715,0.0827,114744,9.5856,0.1038,12.8965,0.0340,114744,9.9093,0.0116,11.8792,0.0215,114744,11.9968,0.0013,11.2077,0.0010,16896056
1.233655,779,2.11078009E8,034544.40+241313.1,56.43504,24.22033,HII761,10.56,8.75,1.7,,,,,,,best,,,,1.0,,a,,137060564351255365, 56.435082530, 24.220670480,0.011,0.011,90,268959744,32,55916.018229170,0,3,,,,,0,13.5084,0.0011,13.3343,0.0010,24,,,,,0,13.4052,0.0012,12.3688,0.0010,24,14.5399,0.0042,13.1937,0.0024,16777240
1.610930,779,2.11078009E8,034544.40+241313.1,56.43504,24.22033,HII761,10.56,8.75,1.7,,,,,,,best,,,,1.0,,a,,137060564354695235, 56.435466450, 24.220551330,0.010,0.010,90,268959744,32,55962.380023150,0,12,12.6383,0.0032,16.0783,0.0046,4120,10.8022,0.0010,13.1104,0.0010,24,9.8112,0.0167,12.2941,0.0620,24,14.0534,0.0024,13.1529,0.0027,4120,11.9045,0.0000,11.9499,0.0000,24
0.033657,780,2.11066835E8,034551.63+240220.0,56.465140000000005,24.0389,HD23409=HII804,7.85,7.32,0.42,,,,,,,best,,,,1.0,,,,136840564652237006, 56.465150000, 24.038902000,0.053,0.053,90,1409359872,168,51530.215196760,3,10,7.9780,,,,68,7.9800,,,,68,8.0590,,,,114788,8.1370,,,,114788,8.1590,,,,114788
1.537152,780,2.11066835E8,034551.63+240220.0,56.465140000000005,24.0389,HD23409=HII804,7.85,7.32,0.42,,,,,,,best,,,,1.0,,,,136840564654907581, 56.465505990, 24.039165700,0.145,0.145,90,268959744,32,56264.744351850,0,5,,,,,0,,,,,0,,,,,0,8.7265,0.3901,13.0926,0.3217,24,9.4116,0.1473,10.0041,0.0109,24
1.812515,780,2.11066835E8,034551.63+240220.0,56.465140000000005,24.0389,HD23409=HII804,7.85,7.32,0.42,,,,,,,best,,,,1.0,,,,136840564656306911, 56.465615640, 24.038645450,0.049,0.049,90,268959744,32,55545.222013890,0,4,,,,,0,8.2614,0.0010,12.3035,0.0010,24,,,,,0,,,,,0,11.8832,0.0013,11.4939,0.0010,16781336
0.744837,781,2.1106759E8,034557.69+240305.1,56.49041,24.05144,HHJ27,,13.79,5.97,,,,,,,best,,,,1.0,,,,136860564904862062, 56.490497310, 24.051249080,0.004,0.001,90,503635968,60,56071.999606480,5,60,20.4598,0.0359,20.5956,0.0560,115000,19.2356,0.0102,19.3854,0.0258,115000,17.3764,0.0032,17.4813,0.0051,115000,16.5003,0.0056,16.5941,0.0056,115000,16.0758,0.0037,16.1626,0.0078,115000
0.016376,782,2.11097879E8,034602.88+243140.3,56.51203,24.52787,22Tau=HII859,,6.43,-0.11,,,,,,,best,,,,1.0,,,,137430565120513912, 56.512035000, 24.527870000,0.055,0.055,90,1409359872,168,51530.214895830,1,5,6.2170,,,,68,6.4930,,,,68,6.7340,,,,68,6.9070,,,,68,6.9910,,,,114788
0.745549,782,2.11097879E8,034602.88+243140.3,56.51203,24.52787,22Tau=HII859,,6.43,-0.11,,,,,,,best,,,,1.0,,,,137430565123523730, 56.512174370, 24.527709880,0.001,0.001,90,268959744,32,56343.731782410,0,4,7.3562,0.0010,10.7399,0.0010,24,,,,,0,,,,,0,,,,,0,6.4406,0.0314,8.9842,0.0540,24
1.285564,782,2.11097879E8,034602.88+243140.3,56.51203,24.52787,22Tau=HII859,,6.43,-0.11,,,,,,,best,,,,1.0,,,,137430565119424269, 56.512077380, 24.528224490,0.001,0.001,90,1343750144,160,55920.390983800,1,4,7.5812,0.0952,10.7565,0.1352,16,7.3333,0.0010,11.1618,0.0010,114736,,,,,0,7.7788,0.0013,13.3936,0.0013,24,,,,,0
