K2 ID,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products
210803812,KTWO210803812-C04,4,STAR,6,03 39 10.202,+19 55 31.00,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4048_GO4097,,,,,,,,,,,,,,,,,,,,,13.125,0.021,12.497,0.024,12.214,0.023,15.534,JHK,,,,,03391020+1955310,,2015-09-03 17:48:42,0.994,0.006,0.881,1129.560,1026.299,894.135,19,4,68,,,19
210804032,KTWO210804032-C04,4,STAR,6,03 44 47.292,+19 55 41.79,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4024_GO4026,,,,,,,,,,,,,,,,,,,,,14.769,0.035,14.252,0.044,13.925,0.044,16.974,JHK,,,,,03444729+1955417,,2015-09-03 18:04:43,1.000,0.000,0.756,2463.252,1956.720,1549.047,19,2,66,,,19
210804191,KTWO210804191-C04,4,STAR,6,03 56 49.952,+19 55 49.47,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4032_GO4037_GO4097,4.000,6.700,-45.600,6.600,,,,,,,,,,,,,,,,,12.916,0.024,12.282,0.027,12.008,0.021,15.317,JHK,,,,550-008212,03564994+1955497,,2015-09-03 18:48:58,1.000,0.000,0.777,1507.753,1420.691,1276.197,13,2,42,,,19
210815768,KTWO210815768-C04,4,STAR,6,03 49 35.749,+20 06 28.95,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4011_GO4024_GO4026_GO4032_GO4048,,,,,,,,,,,,,,,,,,,,,13.785,0.025,13.274,0.029,12.917,0.027,16.068,JHK,,,,,03493574+2006289,,2015-09-03 18:20:19,1.000,0.000,0.854,1334.494,1053.142,823.620,14,2,46,,,19
210817078,KTWO210817078-C04,4,STAR,6,03 35 48.224,+20 07 43.38,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4032_GO4097,,,,,,,,,,,,,,,,,,,,,12.826,0.023,12.220,0.019,11.959,0.021,15.106,JHK,,,,,03354822+2007433,,2015-09-03 19:07:32,1.000,0.000,0.843,2544.609,2404.045,2167.734,19,4,68,,,19
210817106,KTWO210817106-C04,4,STAR,6,03 43 18.739,+20 07 44.82,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4011_GO4048_GO4097,,,,,,,,,,,,,,,,,,,,,13.342,0.021,12.763,0.023,12.486,0.022,15.587,JHK,,,,,03431873+2007448,,2015-09-03 18:19:11,1.000,0.000,0.830,773.817,648.859,585.558,19,2,66,,,19
210822528,KTWO210822528-C04,4,STAR,6,03 42 58.590,+20 12 45.22,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4024_GO4026_GO4032_GO4048,,,,,,,,,,,,,,,,,,,,,13.876,0.026,13.184,0.024,12.946,0.025,16.331,JHK,,,,,03425859+2012452,,2015-09-03 18:55:41,1.000,0.000,0.739,2243.280,1983.896,1708.673,19,2,66,,,19
210829886,KTWO210829886-C04,4,STAR,6,03 49 41.027,+20 19 27.49,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4020_GO4022_GO4032_GO4060,29.300,2.100,-67.400,2.400,,,,,15.219,0.040,13.813,0.035,14.553,0.036,13.225,0.042,12.439,0.061,,,10.697,0.020,10.045,0.022,9.854,0.017,13.073,gri,,,,552-007756,03494101+2019276,,2015-09-03 19:00:42,1.000,0.000,0.962,644.607,642.614,605.870,14,2,46,,,19
210830104,KTWO210830104-C04,4,STAR,6,03 50 33.853,+20 19 38.77,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4048,,,,,,,,,,,,,,,,,,,,,15.004,0.042,14.477,0.057,14.001,0.052,16.425,J,,,,,03503385+2019387,,2015-09-03 19:06:37,1.000,0.000,0.569,3677.102,2825.920,2212.744,14,2,46,,,19
210832378,KTWO210832378-C04,4,STAR,6,03 42 13.889,+20 21 44.03,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4011_GO4024_GO4026_GO4032_GO4048,,,,,,,,,,,,,,,,,,,,,13.649,0.024,13.064,0.024,12.794,0.023,15.891,JHK,,,,,03421388+2021440,,2015-09-03 18:55:28,0.999,0.001,0.810,2434.777,2218.409,1932.939,19,1,65,,,19
210833049,KTWO210833049-C04,4,STAR,6,04 01 04.127,+20 22 21.44,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4020_GO4024_GO4032_GO4048,55.300,4.100,-65.800,4.600,,,,,,,,,,,,,,,,,11.813,0.023,11.139,0.024,10.906,0.018,14.211,JHK,,,,552-008365,04010412+2022217,,2015-09-03 17:39:20,0.989,0.011,0.878,605.940,578.849,536.426,8,2,22,,,19
210833622,KTWO210833622-C04,4,STAR,6,03 49 56.060,+20 22 52.76,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4048_GO4097,,,,,,,,,,,,,,,,,,,,,13.429,0.023,12.904,0.024,12.628,0.025,15.489,JHK,,,,,03495606+2022527,,2015-09-03 20:06:16,1.000,0.000,0.803,1277.578,1097.293,922.158,14,2,46,,,19
210837336,KTWO210837336-C04,4,STAR,6,03 52 08.807,+20 26 18.83,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4018_GO4020_GO4024_GO4032_GO4048_GO4086_GO4104_GO4106,17.300,1.400,-47.800,1.400,,,,,12.970,0.020,11.929,0.050,12.464,0.030,11.513,0.050,11.074,0.020,,,9.849,0.022,9.294,0.024,9.137,0.018,11.491,gri,,,,553-007959,03520880+2026189,,2015-09-03 17:24:33,1.000,3.000e-4,1.000,61.703,54.439,46.183,14,2,46,,,19
210837725,KTWO210837725-C04,4,STAR,6,03 47 05.348,+20 26 39.48,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4020_GO4032_GO4097,18.300,4.400,-57.500,5.100,,,,,,,,,,,,,,,,,11.468,0.020,10.856,0.022,10.613,0.018,13.710,JHK,,,,553-007622,03470534+2026395,,2015-09-03 20:17:02,1.000,0.000,0.899,285.199,273.459,238.533,14,2,46,,,19
210839388,KTWO210839388-C04,4,STAR,6,04 04 08.436,+20 28 09.56,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4020_GO4032_GO4060,13.600,4.200,-48.200,4.600,,,,,16.630,0.140,15.136,0.070,16.014,0.060,14.460,0.050,14.659,0.460,,,11.756,0.021,11.090,0.024,10.862,0.020,15.066,gri,,,,553-008649,04040843+2028098,,2015-09-03 18:32:58,1.000,1.000e-4,0.851,676.239,653.636,653.133,8,2,22,,,19
210840112,KTWO210840112-C04,4,STAR,6,03 53 58.124,+20 28 49.71,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4020_GO4022_GO4024_GO4032_GO4048_GO4054_GO4060,22.300,2.900,-43.700,3.400,,,,,16.893,0.140,15.408,0.040,16.240,0.080,14.820,0.060,13.750,0.070,,,11.831,0.022,11.160,0.020,10.920,0.020,14.497,gri,,,,553-008050,03535812+2028496,,2015-09-03 17:37:56,1.000,0.000,0.905,1312.860,1139.254,916.572,14,1,45,,,19
210846442,KTWO210846442-C04,4,STAR,6,03 56 11.342,+20 34 30.20,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4024_GO4032_GO4048_GO4097,26.900,4.000,-40.800,4.300,,,,,,,,,,,,,,,,,12.694,0.023,12.048,0.028,11.840,0.022,14.932,JHK,,,,553-008152,03561132+2034303,,2015-09-03 20:30:04,1.000,0.000,0.870,1209.313,1075.886,968.101,14,1,45,,,19
210854098,KTWO210854098-C04,4,STAR,6,03 40 51.064,+20 41 17.64,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4011_GO4024_GO4026,,,,,,,,,,,,,,,,,,,,,14.616,0.029,13.996,0.037,13.706,0.046,17.022,JHK,,,,,03405106+2041176,,2015-09-03 17:55:19,1.000,0.000,0.676,4339.488,3527.615,2833.465,19,1,65,,,19
210855272,KTWO210855272-C04,4,STAR,6,03 50 24.954,+20 42 18.06,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4020_GO4024_GO4032_GO4048_GO4054_GO4060,14.300,3.000,-42.200,3.400,,,,,16.160,0.100,14.702,0.050,15.464,0.010,14.103,0.030,13.369,0.060,,,11.812,0.020,11.118,0.022,10.935,0.021,13.997,gri,,,,554-007635,03502494+2042181,,2015-09-03 20:35:21,1.000,0.000,0.932,167.716,154.275,134.407,14,2,46,,,19
210860152,KTWO210860152-C04,4,STAR,6,03 48 11.412,+20 46 42.68,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4024_GO4032_GO4048_GO4097,,,,,,,,,,,,,,,,,,,,,13.121,0.021,12.499,0.024,12.242,0.020,15.438,JHK,,,,,03481141+2046426,,2015-09-03 18:14:56,1.000,0.000,0.856,1302.141,1081.692,881.677,14,2,46,,,19
210862226,KTWO210862226-C04,4,STAR,6,03 42 29.700,+20 48 40.08,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4024_GO4032_GO4048_GO4097,,,,,,,,,,,,,,,,,,,,,13.336,0.023,12.686,0.024,12.426,0.026,15.742,JHK,,,,,03422970+2048400,,2015-09-03 20:19:14,1.000,0.000,0.837,1247.540,1069.652,883.877,19,1,65,,,19
210863683,KTWO210863683-C04,4,STAR,6,03 53 43.015,+20 50 00.52,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4020_GO4024_GO4032_GO4048_GO4054_GO4060,22.200,3.000,-45.100,3.400,,,,,16.149,0.110,14.799,0.060,15.548,0.040,14.182,0.040,13.350,0.050,,,11.633,0.020,10.936,0.022,10.764,0.018,14.009,gri,,,,555-008225,03534301+2050006,,2015-09-03 19:08:28,1.000,0.000,0.915,548.953,539.598,521.551,14,1,45,,,19
210865020,KTWO210865020-C04,4,STAR,6,03 41 13.484,+20 51 17.29,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4048,,,,,,,,,,,,,,,,,,,,,12.119,0.021,11.470,0.019,11.239,0.023,14.439,JHK,,,,555-007551,03411348+2051175,,2015-09-03 17:29:09,0.642,0.358,0.831,7204.070,7093.973,6656.934,19,1,65,,,19
210866482,KTWO210866482-C04,4,STAR,6,03 52 11.208,+20 52 33.87,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4024_GO4032_GO4048,,,,,,,,,,,,,,,,,,,,,13.498,0.024,12.881,0.026,12.603,0.026,15.863,JHK,,,,,03521120+2052338,,2015-09-03 19:32:37,1.000,0.000,0.869,1356.034,1127.789,920.192,14,1,45,,,19
210866744,KTWO210866744-C04,4,STAR,6,03 46 19.337,+20 52 47.20,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4018_GO4024_GO4029_GO4032_GO4033_GO4048_GO4060_GO4086_GO4104,11.790,3.930,-46.820,3.550,5.350,3.300,,,12.831,0.365,11.633,0.171,11.956,0.020,11.291,0.030,11.019,0.020,,,9.995,0.020,9.609,0.018,9.519,0.018,11.300,gri,17607,1260-1404-1,,555-007808,03461933+2052472,,2015-09-03 17:59:08,1.000,0.000,0.978,140.934,128.351,115.893,14,3,47,,,19
210871940,KTWO210871940-C04,4,STAR,6,03 53 31.560,+20 57 27.17,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4024_GO4026_GO4032_GO4048,,,,,,,,,,,,,,,,,,,,,13.790,0.023,13.176,0.028,12.921,0.029,16.076,JHK,,,,,03533155+2057271,,2015-09-03 20:33:30,0.996,0.004,0.845,1236.411,956.567,731.508,14,1,45,,,19
210872505,KTWO210872505-C04,4,STAR,6,03 40 35.317,+20 57 56.78,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4020_GO4024_GO4032_GO4048_GO4097,22.800,4.300,-39.000,5.000,,,,,,,,,,,,,,,,,12.185,0.022,11.519,0.023,11.295,0.022,14.535,JHK,,,,555-007519,03403532+2057569,,2015-09-03 20:00:44,1.000,0.000,0.890,1216.522,1141.922,1022.011,19,1,65,,,19
210872577,KTWO210872577-C04,4,STAR,6,03 49 50.372,+20 58 00.35,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4048,,,,,,,,,,,,,,,,,,,,,13.323,0.024,12.692,0.030,12.409,0.030,15.739,JHK,,,,,03495037+2058003,,2015-09-03 17:22:06,0.541,0.459,0.867,1660.750,1467.636,1337.246,14,2,46,,,19
210873256,KTWO210873256-C04,4,STAR,6,03 54 13.518,+20 58 38.66,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4011_GO4024_GO4026,,,,,,,,,,,,,,,,,,,,,14.453,0.032,13.923,0.036,13.564,0.042,16.800,JHK,,,,,03541351+2058386,,2015-09-03 20:18:09,1.000,0.000,0.553,1915.721,1446.417,1028.513,14,1,45,,,19
210875952,KTWO210875952-C04,4,STAR,6,04 07 49.080,+21 01 05.53,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4032,16.200,5.200,-35.600,5.400,,,,,,,,,,,,,,,,,12.801,0.021,12.078,0.024,11.849,0.024,15.300,JHK,,,,556-008637,04074907+2101058,,2015-09-03 18:05:17,1.000,1.000e-4,0.836,1017.439,878.018,733.759,8,3,23,,,19
210876759,KTWO210876759-C04,4,STAR,6,03 43 05.718,+21 01 49.49,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4011_GO4048,,,,,,,,,,,,,,,,,,,,,14.020,0.022,13.385,0.027,13.071,0.027,16.514,JHK,,,,,03430571+2101494,,2015-09-03 19:44:13,1.000,0.000,0.746,2359.657,1985.229,1685.600,19,1,65,,,19
210877263,KTWO210877263-C04,4,STAR,6,03 46 29.719,+21 02 17.10,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4024_GO4032_GO4048,,,,,,,,,,,,,,,,,,,,,13.461,0.024,12.805,0.024,12.550,0.024,15.870,JHK,,,,,03462971+2102170,,2015-09-03 17:12:47,1.000,2.000e-4,0.733,1418.141,1152.781,931.970,14,3,47,,,19
210877423,KTWO210877423-C04,4,STAR,6,03 56 12.293,+21 02 26.96,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4018_GO4024_GO4032_GO4033_GO4048_GO4052_GO4060_GO4082_GO4104,15.100,1.500,-34.600,1.600,,,,,11.467,0.078,10.811,0.071,11.129,0.050,10.563,0.030,11.547,0.900,,,9.440,0.024,9.074,0.022,8.967,0.020,11.421,gri,,1261-1502-1,,556-008006,03561230+2102270,,2015-09-03 19:39:58,1.000,0.000,0.980,171.874,170.975,168.815,14,1,45,,,19
210878635,KTWO210878635-C04,4,STAR,6,03 51 16.614,+21 03 35.10,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4011_GO4024_GO4032_GO4048_GO4097,,,,,,,,,,,,,,,,,,,,,13.309,0.024,12.732,0.030,12.381,0.023,15.759,JHK,,,,,03511661+2103351,,2015-09-03 17:36:00,1.000,0.000,0.853,1889.602,1754.572,1531.425,14,2,46,,,19
210879932,KTWO210879932-C04,4,STAR,6,03 55 31.944,+21 04 46.23,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4018_GO4024_GO4032_GO4033_GO4048_GO4060_GO4086_GO4104,24.200,1.600,-50.100,1.700,,,,,11.818,0.117,11.101,0.087,11.376,0.050,10.758,0.030,12.008,0.900,,,9.624,0.024,9.281,0.022,9.174,0.018,11.818,gri,,1261-1415-1,,556-007975,03553193+2104462,,2015-09-03 20:24:22,0.999,0.001,0.990,138.055,137.650,134.183,14,1,45,,,19
210880560,KTWO210880560-C04,4,STAR,6,03 52 58.350,+21 05 20.40,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4011_GO4024_GO4032_GO4048,,,,,,,,,,,,,,,,,,,,,13.489,0.025,12.868,0.025,12.548,0.023,15.967,JHK,,,,,03525834+2105203,,2015-09-03 18:28:09,1.000,0.000,0.709,1165.722,959.447,757.459,14,1,45,,,19
210881103,KTWO210881103-C04,4,STAR,6,03 46 09.876,+21 05 52.76,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4024_GO4032_GO4048_GO4097,,,,,,,,,,,,,,,,,,,,,13.111,0.023,12.442,0.023,12.247,0.024,15.382,JHK,,,,,03460987+2105527,,2015-09-03 18:21:50,0.999,0.002,0.843,1424.605,1295.947,1129.423,14,3,47,,,19
210882573,KTWO210882573-C04,4,STAR,6,03 56 22.304,+21 07 17.19,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4024_GO4032_GO4048_GO4097,,,,,,,,,,,,,,,,,,,,,12.938,0.024,12.308,0.027,12.016,0.022,15.374,JHK,,,,,03562230+2107171,,2015-09-03 19:50:36,1.000,0.000,0.731,1854.848,1727.591,1488.519,14,1,45,,,19
210886244,KTWO210886244-C04,4,STAR,6,03 55 57.533,+21 10 39.01,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4024_GO4032_GO4048_GO4097,9.000,4.100,-38.800,4.300,,,,,,,,,,,,,,,,,12.654,0.026,12.016,0.025,11.761,0.021,15.013,JHK,,,,556-007993,03555753+2110391,,2015-09-03 19:15:25,1.000,0.000,0.826,1006.848,933.715,823.624,14,1,45,,,19
210886447,KTWO210886447-C04,4,STAR,6,03 47 31.128,+21 10 51.46,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4024_GO4026_GO4032_GO4048,,,,,,,,,,,,,,,,,,,,,13.702,0.021,13.147,0.027,12.820,0.026,16.029,JHK,,,,,03473112+2110514,,2015-09-03 17:37:24,1.000,0.000,0.640,2487.926,2197.725,1915.008,14,3,47,,,19
210887995,KTWO210887995-C04,4,STAR,6,03 59 42.655,+21 12 15.38,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4048,,,,,,,,,,,,,,,,,,,,,13.955,0.028,13.358,0.033,13.028,0.031,16.403,JHK,,,,,03594265+2112153,,2015-09-03 19:52:39,1.000,0.000,0.880,3435.933,3214.968,2902.498,9,2,26,,,19
210888723,KTWO210888723-C04,4,STAR,6,03 40 49.386,+21 12 55.68,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4024_GO4032_GO4048_GO4097,,,,,,,,,,,,,,,,,,,,,13.450,0.024,12.791,0.024,12.487,0.026,15.966,JHK,,,,,03404938+2112556,,2015-09-03 19:50:58,1.000,0.000,0.853,1924.869,1812.629,1620.032,19,1,65,,,19
210892321,KTWO210892321-C04,4,STAR,6,03 59 31.452,+21 16 18.84,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4024_GO4032_GO4048_GO4097,,,,,,,,,,,,,,,,,,,,,12.743,0.024,12.090,0.025,11.844,0.021,15.119,JHK,,,,,03593145+2116188,,2015-09-03 18:35:20,1.000,0.000,0.876,1543.842,1402.227,1256.178,9,2,26,,,19
210892390,KTWO210892390-C04,4,STAR,6,03 55 39.504,+21 16 22.03,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4011_GO4020_GO4032_GO4054_GO4060,17.500,2.900,-41.800,3.400,,,,,16.853,0.120,15.352,0.060,16.117,0.050,14.680,0.050,14.228,0.560,,,11.820,0.023,11.147,0.022,10.902,0.018,14.795,gri,,,,557-008144,03553950+2116220,,2015-09-03 18:49:55,1.000,0.000,0.929,638.800,625.070,603.132,14,1,45,,,19
210894583,KTWO210894583-C04,4,STAR,6,03 49 51.798,+21 18 26.33,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4020_GO4024_GO4032_GO4048,18.800,3.000,-38.200,3.400,,,,,,,,,,,,,,,,,11.808,0.020,11.162,0.024,10.921,0.018,14.149,JHK,,,,557-007873,03495179+2118264,,2015-09-03 18:05:40,1.000,0.000,0.905,853.211,718.749,650.981,14,3,47,,,19
210899735,KTWO210899735-C04,4,STAR,6,03 32 02.353,+21 23 10.87,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4032_GO4097,,,,,,,,,,,,,,,,,,,,,12.927,0.021,12.350,0.020,12.112,0.021,15.035,JHK,,,,,03320235+2123108,,2015-09-03 19:17:50,1.000,0.000,0.898,959.387,894.457,815.889,20,2,70,,,19
210899950,KTWO210899950-C04,4,STAR,6,03 54 27.835,+21 23 23.15,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4007_GO4018_GO4024_GO4029_GO4032_GO4033_GO4048_GO4060_GO4072_GO4086_GO4104,21.410,3.800,-39.910,3.630,9.680,2.550,,,11.669,0.091,10.840,0.068,11.266,0.040,10.742,0.050,10.524,0.030,,,9.601,0.021,9.255,0.022,9.183,0.018,10.747,gri,18266,1261-19-1,,557-008077,03542782+2123231,,2015-09-03 20:33:09,1.000,0.000,1.000,462.880,441.789,517.774,14,1,45,,,19
210901321,KTWO210901321-C04,4,STAR,6,03 48 48.218,+21 24 40.83,LC,KLC,,2015-02-08 07:04:51,2015-04-20 04:18:04,GO4006_GO4011_GO4048,,,,,,,,,,,,,,,,,,,,,13.518,0.023,12.910,0.028,12.641,0.026,15.829,JHK,,,,,03484821+2124408,,2015-09-03 20:14:05,1.000,0.000,0.660,3440.348,3118.368,2723.432,14,3,47,,,19
