,ampl,dur,ed,ederr,istart,istop,istart_no_sys_no_thruster,istop_no_sys_no_thruster,corrected,myenerg,myenerg_err,L_bol,L_bol_err,myed,ED_true,count_true,energ_true
12,0.052720240655020914,0.26561226617195643,757.0134480502702,114.89008097286086,1149,1161,1149.0,1161.0,8.5,1.039800175383112e+35,4.535627103144685e+34,2.3017597493486285e+33,5.034997802178657e+32,747.523039778554,1635.5058980665158,8.5,2.2749791366343202e+35
13,0.009855559252164792,0.040863268535758834,24.62101036192501,6.656915410450326,1311,1313,1311.0,1313.0,6.0,1.2516054440893389e+34,6.397566665373043e+33,2.3017597493486285e+33,5.034997802178657e+32,89.97920257364146,585.5746172275801,6.0,8.145308669997799e+34
14,0.06527789413278233,0.16345352037023986,759.6543450591008,127.98019686489486,1351,1359,1351.0,1359.0,8.5,1.2012760114294045e+35,5.396429947762924e+34,2.3017597493486285e+33,5.034997802178657e+32,863.6096789903946,1652.433595433933,8.5,2.2985254646467475e+35
15,0.03521887120704703,0.12259000002813993,294.87518234322283,54.58832549177449,1428,1434,1428.0,1434.0,3.2,6.184541471945025e+34,2.8558932742460256e+34,2.3017597493486285e+33,5.034997802178657e+32,444.6130468329178,814.697587241367,3.2,1.1332395779382574e+35
16,0.008845805278419298,0.08172673008812126,43.05966710529932,9.516893854693402,1501,1505,1501.0,1505.0,6.0,2.52655953541718e+34,1.2331413343105926e+34,2.3017597493486285e+33,5.034997802178657e+32,181.63696340988483,585.5746172275801,6.0,8.145308669997799e+34
17,0.023939412381967243,0.0408631696991506,61.17944557519479,14.10372845562534,1775,1777,1775.0,1777.0,6.0,2.343139701126906e+34,1.1214632594229705e+34,2.3017597493486285e+33,5.034997802178657e+32,168.45072288690875,585.5746172275801,6.0,8.145308669997799e+34
18,0.017362588066252474,0.08172653171641286,98.48053015224806,19.688580831460094,1815,1819,1815.0,1819.0,9.0,3.122345533357209e+34,1.4650212067486604e+34,2.3017597493486285e+33,5.034997802178657e+32,224.46863153049622,691.8554062532952,9.0,9.623668228005961e+34
19,-0.005312667562206111,0.061294890467252124,-64.06587445532655,74.29003811614476,2062,2065,2062.0,2065.0,6.0,7.138068439845106e+33,9.241094528759431e+33,2.3017597493486285e+33,5.034997802178657e+32,51.31630811982104,585.5746172275801,6.0,8.145308669997799e+34
20,0.03069810953463705,0.08172662823199063,148.59771784400613,50.31737164465063,2126,2130,2126.0,2130.0,3.2,3.641271600537603e+34,2.1602005646150846e+34,2.3017597493486285e+33,5.034997802178657e+32,261.7747601831572,828.7665314560123,3.2,1.152809397038652e+35
21,0.026789374986458496,0.12258992202987427,243.0676271860733,72.08648449606619,2224,2230,2224.0,2230.0,3.2,5.990731336768531e+34,3.38451402959521e+34,2.3017597493486285e+33,5.034997802178657e+32,430.67983689345556,814.697587241367,3.2,1.1332395779382574e+35
22,0.03867353568701735,0.1225898353586672,338.65530854019437,65.79489029617368,2257,2263,2257.0,2263.0,18.0,5.052643590873004e+34,2.376051835312239e+34,2.3017597493486285e+33,5.034997802178657e+32,363.2397440763463,711.9594720574888,18.0,9.90331460727083e+34
23,0.02785471970727495,0.061294933613680776,121.12887272425269,26.76709995082777,2326,2329,2326.0,2329.0,6.0,2.1596753464703934e+34,1.040451333174443e+34,2.3017597493486285e+33,5.034997802178657e+32,155.26128174901737,585.5746172275801,6.0,8.145308669997799e+34
24,0.042040283700319814,0.10215833794063656,263.4834479568797,49.61483716236656,2356,2361,2356.0,2361.0,,4.183874185686884e+34,1.9341421872990316e+34,2.3017597493486285e+33,5.034997802178657e+32,300.783018062422,748.3172082897709,,1.0409048591363937e+35
25,0.04216385058098389,0.040863334077585016,118.78536525211337,38.72080774406697,2521,2523,2521.0,2523.0,6.0,2.3948658382702986e+34,1.3328481976588434e+34,2.3017597493486285e+33,5.034997802178657e+32,172.16936808324994,585.5746172275801,6.0,8.145308669997799e+34
26,0.05197623207859714,0.0817268119280925,280.2352267109889,55.62006654678793,2593,2597,2655.0,2657.0,6.0,2.4694638888171867e+34,1.1497153278712334e+34,2.3017597493486285e+33,5.034997802178657e+32,177.53229865650337,585.5746172275801,6.0,8.145308669997799e+34
27,0.04140829637010546,0.040863275178708136,116.91245342261692,25.08431900681321,2655,2657,2932.0,2934.0,6.0,1.8081135291404965e+34,8.664861414669835e+33,2.3017597493486285e+33,5.034997802178657e+32,129.9871411417907,585.5746172275801,6.0,8.145308669997799e+34
28,0.025980260019417663,0.04086338739580242,61.49583735319151,14.222268681532485,2932,2934,3101.0,3103.0,6.0,2.36070478106e+34,1.1909754815677775e+34,2.3017597493486285e+33,5.034997802178657e+32,169.71349454788694,585.5746172275801,6.0,8.145308669997799e+34
29,0.029927469948886117,0.04086357203050284,80.93583431236374,21.223983926742715,3101,3103,3166.0,3170.0,5.666666666666666,5.298156087386615e+34,2.45595749196523e+34,2.3017597493486285e+33,5.034997802178657e+32,380.8898899449846,1288.8935297059688,5.666666666666666,1.792843359898904e+35
30,0.06209421022970279,0.08172731775266584,311.0752963791936,60.22422043053877,3166,3170,3201.0,3210.0,14.0,4.6523244565095345e+34,2.2011632621747367e+34,2.3017597493486285e+33,5.034997802178657e+32,334.4603898037196,766.1920951761809,14.0,1.0657687222287586e+35
