,EPIC,IDX,Class,Cat,Period,FVI,Std,Stdc,RAJ2000,DEJ2000,N16,H16
327,211409560,S1001 ,SM,none ,20.763618,3.62,0.272,0.261,132.784937,11.786702,N16,H16
328,211409644,S1000 ,BM,none ,19.702328,11.27,1.171,1.166,132.849189,11.787791,N16,H16
329,211409645,      ,M,mult ,41.7882,2.63,3.1630000000000003,2.927,133.188127,11.787804,N16,H16
331,211409664,S252  ,SM,none ,32.128925,2.74,0.7090000000000001,0.66,132.394846,11.78808,N16,H16
332,211409862,      ,M,mult ,34.09166,2.41,11.59,10.549000000000001,133.235628,11.790547,N16,H16
334,211410090,      ,M,rot  ,25.047775,1.65,12.161,9.675,132.539498,11.793897,N16,H16
340,211410757,S1817 ,SM,mult ,19.355556,2.12,0.37200000000000005,0.32799999999999996,133.282202,11.80357,N16,H16
342,211410931,S1018 ,BM,none ,11.562467999999999,4.1,0.415,0.40299999999999997,132.850355,11.806076,N16,H16
345,211410992,S375  ,SM,mult ,14.332579,2.39,1.126,1.023,132.454004,11.806907,N16,H16
346,211411112,S617  ,BM,mult ,21.175186,3.25,0.451,0.429,132.612448,11.808697,N16,H16
347,211411199,      ,M,mult ,32.979079999999996,4.19,6.136,5.959,133.117496,11.809994999999999,N16,H16
351,211411477,S1602 ,SM,rot  ,14.67574,2.35,0.7390000000000001,0.669,133.094603,11.813881,N16,H16
353,211411508,M5951 ,SM,mult ,24.157695999999998,72.51,6.846,6.845,132.888425,11.814256,N16,H16
354,211411553,S1713 ,SM,mult ,12.464414999999999,3.17,0.267,0.253,133.234386,11.814967,N16,H16
357,211411621,S1714 ,SM,mult ,15.237948000000001,4.27,1.2770000000000001,1.242,133.19374,11.816047,N16,H16
358,211411722,S1604 ,BM,mult ,31.164859999999997,2.6,0.963,0.889,133.092595,11.817472,N16,H16
359,211411723,      ,M,rot  ,13.38349,3.67,2.622,2.522,133.18502800000002,11.817472,N16,H16
361,211411894,S485  ,SM,mult ,26.923534000000004,3.23,0.516,0.49,132.583853,11.819741,N16,H16
363,211411922,S774  ,SM,none ,15.567862,3.26,0.336,0.32,132.708114,11.820203999999999,N16,H16
364,211412010,      ,M,mult ,23.653378,2.4,5.524,5.022,133.164493,11.821591999999999,N16,H16
365,211412077,S1034 ,SM,none ,15.778082000000001,10.38,0.97,0.966,132.827257,11.822629,N16,H16
366,211412192,S1036 ,BM,mult ,0.22071799999999997,410.33,42.202,42.202,132.867277,11.824294,N16,H16
367,211412252,S1268 ,SM,rot  ,26.673842999999998,2.82,0.262,0.245,132.958121,11.82532,N16,H16
369,211412571,      ,M,rot  ,15.529067000000001,2.14,3.343,2.9539999999999997,132.595145,11.830032000000001,N16,H16
371,211412877,S1275 ,SM,mult ,22.883999,3.5,0.319,0.306,132.905854,11.8348,N16,H16
376,211413212,S622  ,SM,rot  ,24.267448,2.41,0.677,0.616,132.589892,11.839767,N16,H16
377,211413327,      ,M,rot  ,26.346854999999998,2.32,6.684,6.03,132.620498,11.841414,N16,H16
381,211413537,S1607 ,SM,mult ,14.409911,5.31,0.715,0.7020000000000001,133.089153,11.844945,N16,H16
385,211413815,S1282 ,BM,EB   ,0.18023499999999998,838.42,123.76799999999999,123.76799999999999,132.90769699999998,11.84918,N16,H16
386,211413961,S1609 ,SM,mult ,37.701046000000005,2.96,1.149,1.082,133.11762199999998,11.851586,N16,H16
387,211414071,      ,M,mult ,33.241436,2.14,11.727,10.362,133.225207,11.853208,N16,H16
388,211414081,S1285 ,BM,rot  ,33.213440000000006,2.5,0.218,0.2,132.951356,11.853301,N16,H16
389,211414156,      ,M,rot  ,30.984081,2.01,2.4419999999999997,2.119,132.629352,11.854564,N16,H16
390,211414203,S1060 ,SM,mult ,20.144676,2.63,0.287,0.265,132.828219,11.855186999999999,N16,H16
391,211414329,S488  ,SM,mult ,30.704203000000003,344.15,4.063,4.063,132.551269,11.8568,N16,H16
393,211414403,      ,M,rot  ,22.998665,2.17,6.2829999999999995,5.579,133.119493,11.857994999999999,N16,H16
397,211414799,S1612 ,BM,rot  ,9.087146,2.92,0.521,0.489,133.130899,11.864249000000001,N16,H16
398,211414938,S625  ,BM,mult ,21.843191,3.67,1.092,1.05,132.597465,11.866257000000001,N16,H16
400,211414962,S1069 ,SM,rot  ,26.224838000000002,3.83,0.35600000000000004,0.344,132.87001,11.866653999999999,N16,H16
401,211414974,      ,M,rot  ,26.635841,3.14,7.257999999999999,6.88,133.11646000000002,11.866789,N16,H16
402,211415085,      ,M,rot  ,28.61301,2.01,2.905,2.521,132.51944699999999,11.868561,N16,H16
403,211415109,S1720 ,SM,none ,10.292516,2.47,0.38299999999999995,0.35,133.205188,11.868961,N16,H16
404,211415364,S794  ,SM,mult ,26.13319,4.33,0.424,0.413,132.74231899999998,11.872875,N16,H16
406,211415591,      ,M,rot  ,27.558544,2.0,2.086,1.806,132.544387,11.876391,N16,H16
412,211416111,S1077 ,BM,mult ,1.358766,87.01,9.704,9.704,132.780109,11.883866000000001,N16,H16
415,211416353,      ,M,rot  ,24.964159,3.9,7.396,7.148,133.180138,11.88727,N16,H16
417,211416577,S1082 ,BM,EB   ,0.5338729999999999,459.45,23.604,23.604,132.836709,11.890564999999999,N16,H16
418,211416616,      ,M,rot  ,21.578464999999998,2.16,3.1919999999999997,2.8289999999999997,132.630248,11.891069,N16,H16
419,211416648,      ,M,rot  ,32.977497,2.31,2.655,2.3930000000000002,132.619536,11.891701,N16,H16
421,211416749,S1305 ,SM,none ,12.744823,4.19,0.29600000000000004,0.287,132.899075,11.89297,N16,H16
423,211416925,      ,M,rot  ,21.779573000000003,1.8,5.515,4.584,132.492268,11.895616,N16,H16
424,211417004,S489  ,SM,mult ,25.933805,4.05,0.425,0.41200000000000003,132.567905,11.896681,N16,H16
426,211417130,S1722 ,SM,none ,19.049851999999998,2.33,0.39799999999999996,0.359,133.160348,11.898937,N16,H16
429,211417559,      ,M,rot  ,26.447435,3.09,11.529000000000002,10.907,132.583879,11.905085,N16,H16
430,211417658,S491  ,SM,mult ,23.475168,3.8,1.24,1.196,132.57661299999998,11.906684,N16,H16
432,211417765,S1310 ,SM,mult ,24.108342999999998,4.78,0.48700000000000004,0.47600000000000003,132.921778,11.90806,N16,H16
433,211417812,S806  ,SM,rot  ,22.01035,4.22,0.402,0.391,132.750734,11.908914,N16,H16
434,211417817,      ,M,rot  ,28.288294,1.62,7.727,6.079,132.610678,11.908991,N16,H16
439,211418141,      ,M,rot  ,21.932882,1.45,65.881,47.726000000000006,132.59798899999998,11.913555,N16,H16
440,211418176,S630  ,SM,mult ,25.790697,3.08,0.696,0.6579999999999999,132.61688600000002,11.914045,N16,H16
443,211418370,F5692 ,SM,rot  ,19.547821,2.65,2.506,2.3209999999999997,133.229937,11.916891,N16,H16
444,211418464,      ,M,rot  ,14.371141,2.95,3.2910000000000004,3.096,132.439046,11.918463000000001,N16,H16
447,211418682,      ,M,rot  ,20.671782,1.92,5.812,4.958,132.43791399999998,11.9217,N16,H16
455,211419666,      ,M,none ,23.925817000000002,6.58,4.218,4.169,132.492952,11.936344,N16,H16
459,211420247,      ,M,mult ,25.561487,3.02,9.337,8.811,132.465196,11.944541000000001,N16,H16
461,211420394,S499  ,SM,mult ,27.001307,2.71,0.423,0.39299999999999996,132.500105,11.946691,N16,H16
463,211420549,S821  ,BM,mult ,32.073803000000005,3.21,0.316,0.3,132.715955,11.948852,N16,H16
466,211420874,      ,M,mult ,36.169304,2.21,3.6239999999999997,3.233,132.542408,11.953513000000001,N16,H16
467,211420952,      ,M,mult ,0.24510300000000002,2.68,8.134,7.547000000000001,132.54830900000002,11.954516,N16,H16
471,211421327,F5285 ,SM,mult ,39.744884000000006,2.96,2.463,2.318,133.12988700000002,11.960402,N16,H16
476,211421683,S1323 ,SM,mult ,17.288223000000002,3.35,0.37799999999999995,0.361,132.897516,11.965695,N16,H16
477,211421905,S1731 ,SM,mult ,28.990153999999997,2.16,0.826,0.732,133.197652,11.969059,N16,H16
478,211422199,      ,M,mult ,13.875171,2.31,1.8319999999999999,1.651,132.575084,11.973382,N16,H16
480,211422418,S637  ,BM,rot  ,27.197714,2.06,1.057,0.924,132.58813999999998,11.976902,N16,H16
483,211422676,S395  ,SM,mult ,22.175295000000002,2.78,0.387,0.361,132.44911000000002,11.980715,N16,H16
