,EPIC,IDX,Class,Cat,Period,FVI,Std,Stdc,RAJ2000,DEJ2000,N16,H16
565,211428580,S1341 ,SM,mult ,25.649160000000002,4.56,1.412,1.3780000000000001,132.87815700000002,12.071135,N16,H16
566,211428596,S1634 ,BM,mult ,17.857960000000002,2.65,0.34299999999999997,0.317,133.128266,12.071352000000001,N16,H16
570,211428643,S1506 ,SM,mult ,15.325387,2.67,0.258,0.24,132.97003600000002,12.071933,N16,H16
571,211428649,S846  ,SM,mult ,27.37694,3.35,0.521,0.49700000000000005,132.769588,12.072018,N16,H16
573,211428722,S277  ,BM,mult ,19.650553,4.63,0.33299999999999996,0.325,132.33950900000002,12.073024,N16,H16
576,211428762,S1342 ,SM,mult ,15.401137,3.11,1.597,1.5119999999999998,132.917821,12.073563,N16,H16
578,211428837,S1635 ,SM,rot  ,10.920813,2.51,0.342,0.313,133.14227,12.074767,N16,H16
582,211429032,      ,M,mult ,26.298617999999998,2.56,4.434,4.082,132.605428,12.077577999999999,N16,H16
584,211429166,S1507 ,SM,mult ,36.774048,5.19,0.7879999999999999,0.774,132.965596,12.079666,N16,H16
585,211429238,      ,M,mult ,41.05407,2.36,2.9210000000000003,2.645,132.82147,12.081046,N16,H16
586,211429354,S1508 ,BM,rot  ,24.831526,3.91,0.408,0.39399999999999996,132.99973899999998,12.083033,N16,H16
589,211429498,      ,M,rot  ,21.542715,2.49,0.469,0.43,132.414835,12.085212,N16,H16
592,211429534,      ,M,mult ,14.212060000000001,2.36,3.515,3.185,132.636673,12.085761,N16,H16
596,211429563,S650  ,BM,mult ,37.663067,8.94,3.4389999999999996,3.418,132.594084,12.086274000000001,N16,H16
605,211429903,      ,M,mult ,30.086538,2.24,5.934,5.31,133.160769,12.091211,N16,H16
607,211430012,S848  ,SM,rot  ,28.591131,2.24,0.439,0.39299999999999996,132.73834,12.093447,N16,H16
613,211430257,F1816 ,M,rot  ,27.887417,1.87,1.75,1.479,132.579282,12.097342,N16,H16
614,211430274,F4050 ,SM,rot  ,26.560158,3.01,1.774,1.673,132.91565400000002,12.097722000000001,N16,H16
617,211430472,      ,M,mult ,15.090348,2.03,1.916,1.6669999999999998,132.714651,12.101034,N16,H16
620,211430648,S1637 ,M,rot  ,15.898845999999999,3.29,1.943,1.851,133.093698,12.103947,N16,H16
