angDist,col1,EPIC,IDX,Class,Cat,Period,FVI,Std,Stdc,RAJ2000,DEJ2000,N16,H16,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
0.186883,51,211392859,,M,rot,23.879976,2.79,8.082,7.546,132.643239,11.530636999999999,N16,H16,121831326432367241,132.643191200, 11.530614610,0.007,0.002,0,503635968,60,55927.726793980,5,77,18.8400,0.0080,18.9417,0.0180,115000,17.5982,0.0023,17.6903,0.0030,115000,16.8206,0.0093,16.9015,0.0117,115000,16.4811,0.0032,16.5473,0.0028,115000,16.3062,0.0074,16.3509,0.0082,115000
0.286712,53,211392899,,M,rot,30.394615,6.66,10.378,10.261,133.09593999999998,11.53128,N16,H16,121831330958848023,133.095859040, 11.531272910,0.005,0.003,90,503635968,60,55977.483981480,5,71,17.5185,0.0039,17.6016,0.0054,115000,16.5483,0.0028,16.6150,0.0020,115000,16.1710,0.0022,16.2245,0.0013,115000,16.0076,0.0044,16.0673,0.0032,115000,15.8973,0.0049,15.9478,0.0096,115000
0.164794,55,211393067,,M,rot,4.859179,20.5,25.11,25.08,133.085527,11.534125999999999,N16,H16,121841330855241407,133.085495650, 11.534092060,0.005,0.003,0,503636096,60,56001.688981480,10,75,17.2571,0.0092,17.3261,0.0142,115000,16.3740,0.0068,16.4297,0.0062,115000,15.9286,0.0034,15.9880,0.0055,115000,15.7078,0.0081,15.7766,0.0052,115000,15.5741,0.0041,15.6040,0.0072,115000
0.186835,56,211393129,S1181,SM,rot,12.125143,2.59,0.34299999999999997,0.316,132.926501,11.535303,N16,H16,121841329264922858,132.926448060, 11.535301300,0.032,0.021,0,503635968,60,55877.379560190,4,67,13.3750,0.0043,13.4084,0.0018,115000,13.3050,,,,114724,13.1560,,,,16420,12.9898,0.0095,13.0195,0.0001,16892216,12.9493,0.0004,12.9616,0.0041,115000
0.257636,58,211393422,,M,rot,29.035177,2.43,5.115,4.662,132.805199,11.540296000000001,N16,H16,121841328051918829,132.805132310, 11.540266810,0.004,0.002,0,503635968,60,55946.560902780,5,66,18.1618,0.0055,18.2616,0.0092,115000,17.0550,0.0029,17.1353,0.0038,115000,16.5538,0.0033,16.6198,0.0032,115000,16.3446,0.0041,16.4119,0.0060,115000,16.2087,0.0054,16.2839,0.0053,115000
0.151320,59,211394056,S926,SM,none,18.276964000000003,2.58,0.257,0.237,132.858071,11.550008,N16,H16,121861328580760518,132.858028150, 11.550010070,0.006,0.002,90,906289152,108,56050.848715280,5,70,13.3070,,,,114724,12.9160,,,,114724,12.7340,,,,114724,12.6120,,,,114724,12.4555,0.0013,12.4743,0.0051,115000
0.144830,62,211394185,F3490,SM,mult,24.798588,4.79,2.762,2.701,132.839537,11.552024000000001,N16,H16,121861328395462930,132.839495950, 11.552024990,0.015,0.004,0,503635968,60,55933.587048610,5,64,16.0588,0.0037,16.1222,0.0036,115000,15.3045,0.0009,15.3534,0.0021,115000,15.0169,0.0031,15.0748,0.0054,115000,14.8855,0.0048,14.9420,0.0020,115000,14.7980,0.0034,14.8295,0.0052,115000
0.258405,66,211394279,,M,rot,27.763176,2.17,6.4670000000000005,5.7379999999999995,132.763827,11.553339,N16,H16,121861327638154506,132.763753910, 11.553334060,0.005,0.003,0,503635968,60,55915.523564810,5,76,18.4369,0.0042,18.5190,0.0069,115000,17.3370,0.0021,17.4103,0.0046,115000,16.8306,0.0028,16.8994,0.0019,115000,16.6219,0.0032,16.6817,0.0055,115000,16.4884,0.0093,16.5639,0.0132,115000
0.179951,69,211394397,S1183,SM,none,29.171095,2.5,0.252,0.231,132.958007,11.555136,N16,H16,121861329580626654,132.957955980, 11.555135760,0.006,0.004,0,906289152,108,55916.740300930,5,82,13.0830,,,,114724,12.7390,,,,114724,12.6020,,,,16420,12.5380,,,,16420,12.4734,0.0057,12.4711,0.0036,16696
0.191133,72,211394534,F2926,M,rot,31.666346,2.89,1.926,1.807,132.762225,11.557072999999999,N16,H16,121861327622358974,132.762172500, 11.557059840,0.005,0.001,90,503635968,60,56023.813530090,5,67,16.2087,0.0029,16.2688,0.0021,115000,15.5700,0.0025,15.6309,0.0027,115000,15.3396,0.0028,15.4033,0.0026,115000,15.2711,0.0020,15.3173,0.0036,115000,15.2163,0.0064,15.2452,0.0143,115000
0.100143,73,211394537,S465,SM,rot,19.079012,2.14,0.516,0.456,132.537562,11.55723,N16,H16,121861325375719199,132.537534630, 11.557222600,0.005,0.003,90,503635968,60,56009.215694440,5,79,14.3749,0.0025,14.4283,0.0039,115000,14.0395,0.0031,14.0870,0.0017,115000,13.9223,0.0067,13.9732,0.0072,115000,13.9397,0.0020,13.9837,0.0018,115000,13.9162,0.0029,13.9371,0.0030,115000
0.246308,74,211394542,,M,rot,26.711956,1.96,5.547999999999999,4.77,132.674803,11.557317,N16,H16,121861326747939252,132.674739290, 11.557288980,0.002,0.002,0,503635968,60,55896.779942130,10,67,18.6405,0.0080,18.7349,0.0137,115000,17.4628,0.0035,17.5337,0.0044,115000,16.8598,0.0062,16.9012,0.0124,115000,16.5977,0.0027,16.6657,0.0054,115000,16.4400,0.0036,16.5183,0.0102,115000
0.150060,75,211394607,S927,SM,rot,10.289683,2.94,0.41,0.386,132.808517,11.558483,N16,H16,121871328085210693,132.808474500, 11.558484940,0.004,0.004,0,503635968,60,55927.083055560,5,76,13.6150,0.1349,13.5858,0.0501,115256,13.4890,,,,114724,13.3190,,,,114724,13.0951,0.0053,13.1383,0.0019,115000,13.0765,0.0049,13.0853,0.0110,115000
0.134324,76,211394644,S928,SM,rot,14.999545000000001,3.02,1.032,0.973,132.788716,11.55916,N16,H16,121871327886671506,132.788677920, 11.559160580,0.004,0.004,0,503635968,60,56079.299756940,5,54,15.0389,0.0033,15.0939,0.0021,115000,14.5987,0.0021,14.6495,0.0011,115000,14.4631,0.0021,14.5150,0.0025,115000,14.4435,0.0020,14.4945,0.0025,115000,14.4110,0.0069,14.4340,0.0056,115000
0.248419,78,211394919,,M,mult,29.400470000000002,5.84,22.865,22.526999999999997,133.017728,11.563544,N16,H16,121871330176926740,133.017657630, 11.563541040,0.002,0.002,90,503635968,60,56035.391527780,5,72,18.9000,0.0068,19.0269,0.0078,115000,17.7079,0.0032,17.7798,0.0054,115000,17.0789,0.0034,17.1532,0.0040,115000,16.8044,0.0038,16.8673,0.0069,115000,16.6381,0.0107,16.7408,0.0122,115000
0.127796,81,211395037,S352,SM,rot,40.652347999999996,2.73,1.2830000000000001,1.194,132.487529,11.565085,N16,H16,121871324875218618,132.487494230, 11.565075010,0.010,0.004,90,503635968,60,55991.497870370,5,72,15.5183,0.0031,15.5792,0.0017,115000,15.0177,0.0017,15.0760,0.0013,115000,14.8359,0.0052,14.8953,0.0013,115000,14.8091,0.0028,14.8586,0.0025,115000,14.7572,0.0047,14.7826,0.0043,115000
0.228885,84,211395187,,M,rot,27.35691,1.65,10.187999999999999,8.097999999999999,132.780428,11.567452000000001,N16,H16,121881327804131426,132.780363940, 11.567441820,0.003,0.003,0,503635968,60,55964.840219910,5,65,19.6105,0.0107,19.7293,0.0196,115000,18.3737,0.0027,18.4659,0.0074,115000,17.3633,0.0030,17.4493,0.0042,115000,16.9411,0.0056,17.0166,0.0082,115000,16.7185,0.0108,16.8135,0.0056,115000
0.241485,85,211395281,,M,rot,15.606851999999998,2.15,8.781,7.771,133.02080700000002,11.568821,N16,H16,121881330207703071,133.020738570, 11.568818700,0.002,0.002,90,503635968,60,56011.338553240,5,74,19.0554,0.0103,19.1651,0.0135,115000,17.8331,0.0022,17.9112,0.0045,115000,17.1588,0.0023,17.2298,0.0052,115000,16.8646,0.0035,16.9356,0.0069,115000,16.6866,0.0054,16.7895,0.0168,115000
0.307043,90,211395492,,M,rot,27.336909999999996,1.7,11.078,8.95,132.614542,11.572469,N16,H16,121881326144967452,132.614457980, 11.572446660,0.013,0.009,0,503635968,60,55983.043692130,5,68,19.6211,0.0097,19.7553,0.0213,115000,18.3986,0.0052,18.4838,0.0056,115000,17.5798,0.0057,17.6388,0.0083,115000,17.2281,0.0036,17.3149,0.0130,115000,17.0225,0.0089,17.1438,0.0232,115000
0.218804,91,211395555,F4831,M,rot,24.378206,2.92,2.093,1.9669999999999999,133.03721000000002,11.573469000000001,N16,H16,121881330371968644,133.037148850, 11.573458740,0.005,0.002,90,503635968,60,56024.776180560,5,75,16.2732,0.0032,16.3385,0.0044,115000,15.6088,0.0020,15.6751,0.0018,115000,15.3444,0.0038,15.3947,0.0032,115000,15.2404,0.0034,15.2916,0.0013,115000,15.1559,0.0031,15.1961,0.0065,115000
0.218006,93,211395606,,M,rot,26.654829,2.26,3.137,2.8139999999999996,132.909719,11.574363,N16,H16,121881329097099718,132.909672980, 11.574322570,0.006,0.003,0,503635968,60,56076.680289350,5,70,17.4704,0.0036,17.5457,0.0123,115000,16.5138,0.0022,16.5754,0.0020,115000,16.1389,0.0029,16.1901,0.0044,115000,15.9762,0.0036,16.0301,0.0041,115000,15.8672,0.0031,15.9198,0.0128,115000
0.214338,95,211395620,F2181,SM,rot,30.553660999999998,3.67,3.259,3.136,132.645012,11.574542,N16,H16,121881326449959968,132.644951640, 11.574548940,0.017,0.010,0,503635968,60,55954.452962960,5,75,16.7131,0.0028,16.7745,0.0026,115000,15.9620,0.0031,16.0287,0.0017,115000,15.6898,0.0041,15.7447,0.0020,115000,15.5862,0.0042,15.6470,0.0025,115000,15.5032,0.0054,15.5173,0.0067,115000
0.134059,98,211395699,S1184,SM,mult,23.834310000000002,7.46,2.332,2.311,132.897803,11.575582,N16,H16,121891328978201229,132.897766060, 11.575590780,0.003,0.002,0,503635968,60,55976.455034720,5,69,14.8935,0.0013,14.9479,0.0030,115000,14.4704,0.0016,14.5248,0.0010,115000,14.3403,0.0012,14.3810,0.0027,115000,14.3175,0.0014,14.3647,0.0020,115000,14.2847,0.0031,14.3091,0.0017,115000
0.205757,101,211395891,,M,rot,29.012648,2.33,4.521,4.084,132.614027,11.578649,N16,H16,121891326140154871,132.613972540, 11.578628500,0.019,0.011,0,503635968,60,55895.351342590,5,62,18.1494,0.0071,18.2551,0.0108,115000,17.0336,0.0041,17.1049,0.0030,115000,16.4704,0.0041,16.5401,0.0082,115000,16.2157,0.0034,16.3014,0.0076,115000,16.0627,0.0085,16.1296,0.0100,115000
0.145628,103,211395912,,M,mult,25.081383,2.18,9.046,8.04,133.144181,11.578942999999999,N16,H16,121891331441855195,133.144172140, 11.578903490,0.003,0.002,90,503635968,60,55899.584027780,5,75,19.2256,0.0147,19.3590,0.0249,115000,18.0734,0.0042,18.1532,0.0087,115000,17.1451,0.0051,17.2144,0.0041,115000,16.7472,0.0028,16.8084,0.0032,115000,16.5270,0.0076,16.6012,0.0181,115000
0.150355,107,211395971,S1792,SM,mult,20.468094,3.06,0.294,0.278,133.272292,11.579905,N16,H16,121891332723376406,133.272250960, 11.579893690,0.015,0.012,0,906289152,108,55725.529837960,4,63,12.9770,,,,114724,12.6180,,,,114724,12.4750,,,,16420,12.4130,,,,114724,12.3598,0.0054,12.3663,0.0017,115000
0.208645,108,211395992,,M,rot,36.169304,2.29,4.791,4.309,132.462868,11.580241000000001,N16,H16,121891324628476772,132.462822840, 11.580203560,0.003,0.001,90,503635968,60,55899.920219910,5,80,18.2712,0.0038,18.3580,0.0086,115000,17.1430,0.0024,17.2020,0.0037,115000,16.5606,0.0034,16.6291,0.0023,115000,16.3072,0.0027,16.3735,0.0028,115000,16.1356,0.0047,16.2132,0.0086,115000
0.171437,109,211396025,S929,BM,rot,26.169773,2.24,0.48700000000000004,0.435,132.849821,11.580652,N16,H16,121891328498607285,132.849772480, 11.580654910,0.004,0.003,0,503635968,60,56024.499201390,5,80,14.2895,0.0021,14.3314,0.0015,115000,13.8412,0.0027,13.8897,0.0017,115000,13.6934,0.0020,13.7362,0.0012,115000,13.6793,0.0028,13.7160,0.0008,115000,13.6268,0.0032,13.6522,0.0048,115000
0.166399,110,211396155,S931,SM,rot,26.07603,2.68,1.014,0.941,132.866268,11.582578999999999,N16,H16,121891328662799601,132.866220830, 11.582577930,0.004,0.002,90,503635968,60,55884.993483800,5,71,15.2116,0.0022,15.2657,0.0026,115000,14.7438,0.0017,14.7998,0.0022,115000,14.5940,0.0013,14.6399,0.0026,115000,14.5620,0.0030,14.6090,0.0027,115000,14.5204,0.0035,14.5453,0.0036,115000
1.954267,110,211396155,S931,SM,rot,26.07603,2.68,1.014,0.941,132.866268,11.582578999999999,N16,H16,121891328657709773,132.865737690, 11.582736470,0.036,0.036,90,268959744,32,55564.104629630,0,3,,,,,0,,,,,0,,,,,0,18.5530,0.0354,,,4112,19.2303,0.1160,,,4112
0.185764,111,211396156,S719,M,mult,13.047238,3.27,1.974,1.88,132.73947900000002,11.582619000000001,N16,H16,121891327394359636,132.739426660, 11.582613200,0.006,0.004,0,503635968,60,56029.309837960,5,72,16.1040,0.0037,16.1773,0.0035,115000,15.4013,0.0019,15.4653,0.0010,115000,15.1083,0.0027,15.1778,0.0030,115000,15.0179,0.0022,15.0689,0.0034,115000,14.9371,0.0032,14.9523,0.0065,115000
1.253908,121,211396385,S721,BM,none,0.823667,10.05,0.474,0.47200000000000003,132.70686899999998,11.585815,N16,H16,121901327071923720,132.707157930, 11.586017990,0.027,0.027,90,1082208256,129,55204.455439810,5,3,,,,,32800,14.4132,0.0012,14.1233,0.0010,16810040,,,,,32800,13.3686,0.0267,12.7555,0.2536,32816,,,,,32800
