,error,flux_gap,flux_model,time,tpf_flags,tpf_time
1903,6.562406207783978,2025.3299250869275,2021.0981347714398,2269.275868224701,0,2269.2758682247004
1904,6.748122557913603,2027.5661731852606,2021.0981347714398,2269.2962998191,0,2269.2962998190997
1905,7.111471005538269,2033.8270930584936,2021.0981347714398,2269.3167314131424,0,2269.3167314131424
1906,7.0414617944699405,2035.0074415339975,2021.0981347714398,2269.337163107193,0,2269.337163107193
1907,6.531016702779707,2020.7083799063118,2021.0981347714398,2269.357594601126,0,2269.357594601126
1908,6.506617529799407,2026.6805543742,2021.0981347714398,2269.3780261948195,0,2269.3780261948195
1909,6.526515782146992,2024.285174809285,2021.0981347714398,2269.398457888405,0,2269.3984578884047
1910,6.530052819292246,2015.1948814176187,2021.0981347714398,2269.418889381872,0,2269.418889381872
1911,6.57810254428837,2021.1342144756304,2021.0981347714398,2269.4393209751,0,2269.4393209750997
1912,6.484247646342037,2011.7256613192096,2021.0981347714398,2269.459752668336,0,2269.4597526683356
1913,6.636208779395888,2022.5201125561664,2021.0981347714398,2269.480184161337,0,2269.480184161337
1914,6.730782812284822,2019.665409426277,2021.0981347714398,2269.500615754216,0,2269.5006157542157
1915,6.596374214270903,2017.0366408554266,2021.0981347714398,2269.521047446986,0,2269.521047446986
1916,6.604121073618826,2020.804892163119,2021.0981347714398,2269.541478939638,0,2269.541478939638
1917,6.494886963277152,2016.460357587572,2021.0981347714398,2269.5619105321675,0,2269.5619105321675
1918,7.045085132223459,2012.6360540667663,2021.0981347714398,2269.582342224472,0,2269.582342224472
1919,7.13522123727537,2008.5564189070826,2021.0981347714398,2269.6027738166595,0,2269.6027738166595
1920,7.150622443886968,2012.2678193842173,2021.0981347714398,2269.6232053087224,0,2269.6232053087224
1921,6.654816754265733,2021.5264986867267,2021.0981347714398,2269.6436370006777,0,2269.6436370006777
1922,5.94872299819237,2024.6483450232208,2021.0981347714398,2269.664068592516,8192,2269.664068592516
1923,5.949980252276216,2024.7947069096688,2021.0981347714398,2269.684500184114,0,2269.684500184114
1924,6.052734748412036,2018.714952289888,2021.0981347714398,2269.704931775719,0,2269.704931775719
1925,6.011121471823497,2016.8726963618074,2021.0981347714398,2269.725363367092,0,2269.7253633670916
1926,6.1096604374587775,2015.6576995917094,2021.0981347714398,2269.745795058341,0,2269.745795058341
1927,6.358069347025452,2028.6569896590336,2021.0981347714398,2269.76622654948,0,2269.76622654948
1928,7.157264057090905,2014.7952769561166,2021.0981347714398,2269.7866581405037,0,2269.7866581405033
1929,7.169176249657714,2013.6656522659305,2021.0981347714398,2269.8070898312867,0,2269.807089831287
1930,7.171323595701754,2018.607192200586,2021.0981347714398,2269.8275213220772,0,2269.827521322077
1931,7.3459659637898875,2015.1136917321533,2021.0981347714398,2269.847952912635,0,2269.8479529126344
1932,7.453148660242108,2036.6529600248002,2021.0981347714398,2269.868384603069,0,2269.868384603069
1933,7.433480282724383,2012.7177673828744,2021.0981347714398,2269.888816093393,0,2269.888816093393
1934,7.69835736720189,2012.072266766848,2021.0981347714398,2269.909247683594,0,2269.909247683594
1935,7.361587418272014,2016.795033107413,2021.0981347714398,2269.950110863661,0,2269.9501108636614
1936,7.255353712892772,2018.007383600837,2021.0981347714398,2269.970542453404,8192,2269.970542453404
1937,7.255876615466497,2016.3113104796585,2021.0981347714398,2269.990974143024,0,2269.990974143024
1938,7.229242728968001,2028.6349478178888,2021.0981347714398,2270.011405632649,0,2270.0114056326493
1939,7.21325809809386,2013.8675087260626,2021.0981347714398,2270.031837322036,0,2270.031837322036
1940,7.2112547662528925,2025.0537826698412,2021.0981347714398,2270.0522688113124,0,2270.0522688113124
1941,7.317055127723296,2028.4490739577946,2021.0981347714398,2270.072700400473,0,2270.072700400473
1942,7.289729437067439,2038.441338684541,2021.0981347714398,2270.0931320893937,0,2270.093132089394
1943,7.212387977586116,2023.2854682619354,2021.0981347714398,2270.1135635783207,0,2270.113563578321
1944,7.155666045051171,2018.7304687684991,2021.0981347714398,2270.133995167016,0,2270.133995167016
1945,7.1667433926374455,2010.6160440262986,2021.0981347714398,2270.1544268557045,0,2270.1544268557045
1946,7.126802246165195,2026.4387198962909,2021.0981347714398,2270.1748584441666,0,2270.1748584441666
1947,7.044039078186015,2021.16057836616,2021.0981347714398,2270.1952899325115,0,2270.1952899325115
1948,6.564137984455777,2033.2679682657647,2021.0981347714398,2270.2157216207347,0,2270.2157216207343
1949,6.331888712321416,2020.8094298403726,2021.0981347714398,2270.236153208847,0,2270.236153208847
1950,6.261237430732365,2026.9243411211773,2021.0981347714398,2270.2565846968428,0,2270.2565846968428
1951,6.164048399685397,2020.8685710488958,2021.0981347714398,2270.2770163847167,0,2270.2770163847163
1952,6.131108507114109,2021.4105956210446,2021.0981347714398,2270.2974479723634,0,2270.2974479723634
1953,5.9824377523099335,2018.565871387559,2021.0981347714398,2270.3178796600114,0,2270.3178796600114
1954,5.9802442212891425,2023.3355169744389,2021.0981347714398,2270.3383111474177,0,2270.3383111474177
1955,5.869759660301518,2029.4706722291364,2021.0981347714398,2270.358742734832,0,2270.358742734832
1956,5.8680058981862215,2026.9151939657306,2021.0981347714398,2270.3791744220143,0,2270.3791744220143
1957,5.8168703834576965,2018.0246685486147,2021.0981347714398,2270.3996059090714,0,2270.3996059090714
1958,5.1771675138224955,2026.9290624180828,2021.0981347714398,2270.42003749602,0,2270.42003749602
1959,5.462512400897774,2031.2585153080672,2021.0981347714398,2270.440469182853,0,2270.440469182853
1960,5.3971175353130185,2022.3690021460595,2021.0981347714398,2270.460900669561,0,2270.460900669561
1961,5.073461227725313,2017.7931181470776,2021.0981347714398,2270.4813322561604,0,2270.4813322561604
1962,5.0702914947737225,2025.234593085914,2021.0981347714398,2270.501763942644,0,2270.501763942644
1963,5.0635609011241165,2026.2157690938952,2021.0981347714398,2270.522195429003,0,2270.5221954290027
1964,5.038844215338792,2033.2308996010086,2021.0981347714398,2270.5426270151365,0,2270.5426270151365
1965,5.092868262147029,2020.1672717346055,2021.0981347714398,2270.563058701271,0,2270.563058701271
1966,5.169436418244789,2019.1407085162384,2021.0981347714398,2270.5834902871648,0,2270.5834902871648
1967,19.13912118475831,2021.6897074630567,2021.0981347714398,2270.603921773065,0,2270.603921773065
1968,19.419826885440052,2019.0099220970053,2021.0981347714398,2270.6243534587343,0,2270.624353458734
1969,19.421476590385527,2031.868537396608,2021.0981347714398,2270.6447850442787,0,2270.6447850442783
1970,19.435067879368027,2024.5390062983731,2021.0981347714398,2270.66521662983,0,2270.66521662983
1971,19.611297721134672,2025.2141618789906,2021.0981347714398,2270.685648215149,0,2270.685648215149
1972,19.609524596914078,2020.5756852057639,2021.0981347714398,2270.706079800344,0,2270.706079800344
1973,19.57288325815754,2013.9620994111394,2021.0981347714398,2270.72651138543,0,2270.72651138543
1974,19.575567421138448,2023.335149121504,2021.0981347714398,2270.7469429704,0,2270.7469429703997
1975,19.60749891164817,2015.3119378986912,2021.0981347714398,2270.767374555245,0,2270.7673745552456
1976,19.60476349472816,2020.5243325211486,2021.0981347714398,2270.7878061399824,0,2270.7878061399824
1977,19.56369067434054,2021.6809821637326,2021.0981347714398,2270.808237724603,0,2270.808237724603
1978,19.56494995656364,2013.0596755873776,2021.0981347714398,2270.828669209099,0,2270.8286692090987
1979,19.6009756491594,2018.2332384591152,2021.0981347714398,2270.849100893487,0,2270.849100893487
1980,19.573542965625148,2015.7825530413488,2021.0981347714398,2270.8695324777577,0,2270.869532477758
1981,19.613771583228637,2123.1773467245143,2021.0981347714398,2270.8899639617885,0,2270.8899639617885
1982,19.705945183116487,2007.2101161290632,2021.0981347714398,2270.9103956458275,0,2270.9103956458275
1983,19.704429978855952,2018.4234131122053,2021.0981347714398,2270.930827229749,0,2270.9308272297494
1984,19.88629486004455,2020.7939229490692,2021.0981347714398,2270.951258713547,0,2270.951258713547
1985,19.941467669404663,2009.8025793880188,2021.0981347714398,2270.9716903971203,0,2270.9716903971203
1986,19.962387769340282,2026.4785335213019,2021.0981347714398,2270.992121980693,0,2270.992121980693
1987,19.985263686861888,2024.5257783883485,2021.0981347714398,2271.0125536640257,0,2271.012553664026
1988,19.97302867397675,2021.4977538317316,2021.0981347714398,2271.0329851473653,0,2271.0329851473653
1989,19.876136583046428,2033.5364772027967,2021.0981347714398,2271.053416730589,0,2271.0534167305887
1990,19.87501871622552,2025.7976006159665,2021.0981347714398,2271.073848413573,8192,2271.0738484135727
1991,19.80013999917481,2023.7104173313144,2021.0981347714398,2271.0942798965625,0,2271.0942798965625
1992,19.81936310475092,2026.0736635604333,2021.0981347714398,2271.1147114793202,0,2271.1147114793202
1993,19.810072719717947,2018.105261280156,2021.0981347714398,2271.1351431620715,0,2271.1351431620715
1994,19.701974704231095,2017.2903746305014,2021.0981347714398,2271.1555747445964,0,2271.1555747445964
1995,19.781332950008718,2032.0965165780435,2021.0981347714398,2271.1760062271205,0,2271.1760062271205
1996,19.80882691022064,2012.8266402399488,2021.0981347714398,2271.196437909406,0,2271.196437909406
1997,7.0743343519965265,2022.057904774333,2021.0981347714398,2271.216869491698,0,2271.216869491698
1998,6.509279371173765,2040.0485306919227,2021.0981347714398,2271.237300973873,0,2271.237300973873
1999,6.645077440588608,2013.8325987795386,2021.0981347714398,2271.257732655809,0,2271.2577326558094
2000,6.722469995756825,2019.2983748240013,2021.0981347714398,2271.278164237752,0,2271.278164237752
2001,6.443355044954363,2029.4558475409292,2021.0981347714398,2271.2985959194557,0,2271.2985959194557
2002,6.469811101252245,2024.176265507124,2021.0981347714398,2271.319027401165,0,2271.319027401165
2003,6.460659547080325,2025.6925563949435,2021.0981347714398,2271.339458982642,0,2271.339458982642
2004,6.460515812393173,2023.8691714360496,2021.0981347714398,2271.3598906641128,0,2271.3598906641128
2005,6.073921185905294,2022.4023478586475,2021.0981347714398,2271.380322145473,0,2271.3803221454727
2006,6.051453149897469,2018.512853889675,2021.0981347714398,2271.400753726601,0,2271.4007537266007
2007,6.685896622625841,2024.305946916204,2021.0981347714398,2271.421185307729,0,2271.4211853077286
2008,6.652617855881001,2020.3596456941045,2021.0981347714398,2271.441616888733,0,2271.441616888733
2009,6.65133682306065,2013.4043458314889,2021.0981347714398,2271.462048369627,0,2271.462048369627
2010,6.6080908819685815,2014.221167522976,2021.0981347714398,2271.482480050283,0,2271.482480050283
2011,6.387747918352165,2026.570795639472,2021.0981347714398,2271.502911630945,0,2271.502911630945
2012,6.202926368402455,2022.6085110651966,2021.0981347714398,2271.523343211491,0,2271.523343211491
2013,6.241125852644575,2014.1342424765576,2021.0981347714398,2271.5437747919204,0,2271.5437747919204
2014,5.3643756787019345,2016.527306170165,2021.0981347714398,2271.5642063722257,0,2271.564206372226
2015,5.286635237769437,2015.3321667337075,2021.0981347714398,2271.5846379524232,0,2271.584637952423
