,Unnamed: 0,error,flux_gap,flux_model,time,tpf_flags,tpf_time,isflare,new_isflare,new_tpf_flags,tpf_flags_wo_systematics,isflare_wo_systematics,isflare_no_sys_no_thruster
875,875,43.90362489923769,24411.089280854718,24448.540184388155,2247.4341595366423,0,2247.4341595366423,0.0,0.0,0,0,0.0,False
876,876,61.601367307161595,24403.660328171583,24448.540184388155,2247.454591373884,0,2247.454591373884,0.0,0.0,0,0,0.0,False
877,877,62.98816798681257,24392.826063816225,24448.540184388155,2247.4750232106526,0,2247.4750232106526,0.0,0.0,0,0,0.0,False
878,878,63.7061996397516,24450.229235415743,24448.540184388155,2247.495455047196,0,2247.495455047196,0.0,0.0,0,0,0.0,False
879,879,62.90099991595644,24472.063434923668,24448.540184388155,2247.5158867835053,0,2247.5158867835053,0.0,0.0,0,0,0.0,False
880,880,61.425916652196534,24464.77917005711,24448.540184388155,2247.5363187193434,0,2247.5363187193434,0.0,0.0,0,0,0.0,False
881,881,59.58357136654583,24485.561573793442,24448.540184388155,2247.5567505547224,0,2247.5567505547224,0.0,0.0,0,0,0.0,False
882,882,59.0850418440925,24462.53984455718,24448.540184388155,2247.5771824896365,0,2247.5771824896365,0.0,0.0,0,0,0.0,False
883,883,58.6017138321731,24449.08695754061,24448.540184388155,2247.597614224309,8192,2247.597614224309,0.0,0.0,8192,8192,0.0,False
884,884,59.74901501321885,24365.975201163867,24448.540184388155,2247.6384779925065,0,2247.6384779925065,0.0,0.0,0,0,0.0,False
885,885,59.91067019421223,24393.349881557402,24448.540184388155,2247.658909726015,0,2247.658909726015,0.0,0.0,0,0,0.0,False
886,886,59.912491979231994,24396.625106955118,24448.540184388155,2247.679341559065,0,2247.679341559065,0.0,0.0,0,0,0.0,False
887,887,60.11268645798192,24385.819978828804,24448.540184388155,2247.6997734918837,0,2247.6997734918837,0.0,0.0,0,0,0.0,False
888,888,60.12635982753379,24385.790266723467,24448.540184388155,2247.7202052242287,0,2247.7202052242287,0.0,0.0,0,0,0.0,False
889,889,59.215361908313206,24537.04619771814,24448.540184388155,2247.7406370561152,0,2247.7406370561152,0.0,0.0,0,0,0.0,False
890,890,59.07580950518153,24661.279212487218,24448.540184388155,2247.761068987769,0,2247.761068987769,0.0,0.0,0,0,0.0,False
891,891,58.71426204807012,24505.914059787632,24448.540184388155,2247.781500819183,0,2247.781500819183,0.0,0.0,0,0,0.0,False
892,892,58.07206255547258,24499.81803624136,24448.540184388155,2247.8019325499044,0,2247.8019325499044,0.0,0.0,0,0,0.0,False
893,893,57.03663908397626,24487.45243382305,24448.540184388155,2247.8223644803948,0,2247.8223644803948,0.0,0.0,0,0,0.0,False
894,894,57.320818403065346,24466.404593772266,24448.540184388155,2247.8427963106437,0,2247.8427963106437,0.0,0.0,0,0,0.0,False
895,895,57.67447006789419,24466.898320012617,24448.540184388155,2247.863228040201,0,2247.863228040201,0.0,0.0,0,0,0.0,False
896,896,57.89208213295368,24409.50399635052,24448.540184388155,2247.8836599697606,0,2247.8836599697606,0.0,0.0,0,0,0.0,False
897,897,58.39379179412553,24412.13455162501,24448.540184388155,2247.904091798613,0,2247.904091798613,0.0,0.0,0,0,0.0,False
898,898,59.068610403947325,24377.25586648045,24448.540184388155,2247.924523527239,0,2247.924523527239,0.0,0.0,0,0,0.0,False
899,899,59.1728600364221,24405.55110533076,24448.540184388155,2247.944955455401,0,2247.944955455401,0.0,0.0,0,0,0.0,False
900,900,58.98154917012084,24451.388233185062,24448.540184388155,2247.9653872833223,0,2247.9653872833223,0.0,0.0,0,0,0.0,False
901,901,58.32456856403738,24476.21474785561,24448.540184388155,2247.985819010785,0,2247.985819010785,0.0,0.0,0,0,0.0,False
902,902,58.141743672804004,24459.92019964828,24448.540184388155,2248.006250938015,0,2248.006250938015,0.0,0.0,0,0,0.0,False
903,903,57.76719754419302,24449.947586506107,24448.540184388155,2248.026682764772,0,2248.026682764772,0.0,0.0,0,0,0.0,False
904,904,658.2935944009744,24454.06248590544,24448.540184388155,2248.04711449107,0,2248.04711449107,0.0,0.0,0,0,0.0,False
905,905,658.2776461121173,24462.585175399814,24448.540184388155,2248.0675464171363,0,2248.0675464171363,0.0,0.0,0,0,0.0,False
906,906,658.1335844062804,24455.050209638463,24448.540184388155,2248.0879782427287,0,2248.0879782427287,0.0,0.0,0,0,0.0,False
907,907,658.1149215625218,24443.967040897325,24448.540184388155,2248.108409967863,0,2248.108409967863,0.0,0.0,0,0,0.0,False
908,908,658.1496130155255,24421.949603383622,24448.540184388155,2248.1288418927647,0,2248.1288418927647,0.0,0.0,0,0,0.0,False
909,909,658.028999810544,24411.018693743838,24448.540184388155,2248.149273717194,0,2248.149273717194,0.0,0.0,0,0,0.0,False
910,910,657.8698520443256,24418.33856557561,24448.540184388155,2248.169705541397,0,2248.169705541397,0.0,0.0,0,0,0.0,False
911,911,657.7050731155223,24390.69364169792,24448.540184388155,2248.1901373651344,0,2248.1901373651344,0.0,0.0,0,0,0.0,False
