,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,stars_in_bin,rel_energ_err
385,211988831.0,1.4266952797331432e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,55.491502403941254,13.622640620484294,3.5983402635123243e+31,2.4463228171223544e+31,3.5,8.906364964421161e+31,740,0.679847551363725
215,211941071.0,4.724232079919543e+29,1.3597432953833746e+29,3550.0,7000.0,3000.0,37.500679195683276,8.207086010852176,4.357673255365022e+31,2.4001394462430853e+31,4.111111111111111,9.662562308517424e+31,740,0.5507846287667653
216,211941071.0,4.724232079919543e+29,1.3597432953833746e+29,3550.0,7000.0,3000.0,40.49781983334111,8.93913540543096,4.705948536757595e+31,2.6008094743679757e+31,4.111111111111111,9.667971112476146e+31,740,0.5526642405996086
506,212077095.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,134.94113003109393,26.949518742564628,3.9903755134115667e+31,2.479591267649848e+31,1.909090909090909,9.744061532424388e+31,740,0.6213929639744418
100,211906287.0,2.656630928328716e+30,4.893695018525311e+29,3800.0,7000.0,3000.0,18.56557480449726,4.08002860427348,5.094739356536984e+31,2.802450065300885e+31,2.6666666666666665,9.808060164953932e+31,740,0.5500674066289777
107,211908928.0,4.724232079919543e+29,1.3597432953833746e+29,3550.0,7000.0,3000.0,40.5658559190837,8.526057163850634,4.713854501065419e+31,2.5554329937783135e+31,2.571428571428571,9.990400661712414e+31,740,0.5421111307531316
75,211900943.0,2.4228762028039462e+29,8.089374008782233e+28,3500.0,7000.0,3000.0,24.956836960183605,5.749424078974416,2.2241921307253526e+31,1.2360842243016678e+31,4.333333333333333,1.0116005455794699e+32,740,0.555745255648646
74,211898716.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,294.25040756861296,56.687397803269484,5.873911420568312e+31,3.240735353469035e+31,1.875,1.0365054371513184e+32,740,0.5517167559117683
443,212013132.0,8.401004635966278e+29,3.385204907166215e+29,3650.0,7000.0,3000.0,30.803539335464606,7.80867325452437,4.825551823465547e+31,2.793177009956187e+31,3.2857142857142856,1.063105417009417e+32,740,0.5788305901873462
314,211973218.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,154.42700729830625,31.063884416899146,4.566596918156807e+31,2.8442390632921015e+31,3.0,1.0658330622672344e+32,740,0.6228355850684776
480,212025613.0,1.4266952797331432e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,77.34352698227198,17.14249684508676,5.01533235190609e+31,3.2900479045776797e+31,1.7777777777777777,1.0704847558967315e+32,740,0.655997982531963
332,211978983.0,2.53706284034917e+28,2.190676153566424e+28,3250.0,7000.0,3000.0,203.29976744270442,44.73989191728089,6.011824665309254e+31,3.8580788202295742e+31,3.0,1.0952604970772232e+32,740,0.6417483933775223
303,211970517.0,2.4228762028039462e+29,8.089374008782233e+28,3500.0,7000.0,3000.0,60.786061278662444,73.19903202362417,5.417348335026965e+31,8.286257179785243e+31,1.3333333333333333,1.1233751493252147e+32,740,1.5295780642733947
54,211889082.0,8.401004635966278e+29,3.385204907166215e+29,3650.0,7000.0,3000.0,30.146681937199254,7.4873378400510955,4.722651329420472e+31,2.7093612083021745e+31,4.6000000000000005,1.1557772414730388e+32,740,0.5736949478831517
5,211748286.0,1.3011615595745358e+28,1.1235132039949538e+28,3200.0,7000.0,3000.0,223.4674612193104,49.44086102810671,4.460921850296628e+31,2.5887205899092423e+31,1.7999999999999998,1.1683326940214284e+32,740,0.5803106794478154
