,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,stars_in_bin,rel_energ_err
34,210804191.0,1.42669527973314e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,259.8332959191213,44.001122644199825,1.684886099678717e+32,1.0171668256032018e+32,2.1666666666666665,4.140241826398595e+32,721,0.6037006452822898
482,211017469.0,8.40100463596628e+29,3.38520490716622e+29,3650.0,7000.0,3000.0,123.48062369394606,22.113685079029736,1.934395078240109e+32,9.757430087789333e+31,2.0,4.1944372796810844e+32,721,0.5044176444383086
502,211021014.0,2.65663092832871e+30,4.89369501852531e+29,3800.0,7000.0,3000.0,77.27012675757271,33.22856055677369,2.120436129890495e+32,1.6122427100929068e+32,2.428571428571429,4.212257185722693e+32,721,0.7603354269275573
1371,211131748.0,2.4228762028039504e+29,8.08937400878224e+28,3500.0,7000.0,3000.0,285.9655703460662,53.06409924534157,2.54856964541162e+32,1.302145002667837e+32,1.3636363636363638,4.223796846464717e+32,721,0.5109316926112597
222,210964488.0,6.372813724560239e+27,2.2744616118030298e+27,3100.0,7000.0,3000.0,993.0022999781933,176.55612465973994,1.485139048432425e+32,8.401716839894554e+31,1.4615384615384615,4.236532605523325e+32,721,0.5657192064785197
396,211006594.0,4.7242320799195404e+29,1.3597432953833699e+29,3550.0,7000.0,3000.0,231.03001329224148,51.13825219741206,2.6846268699744364e+32,1.4853555128953909e+32,1.7,4.2752011024940874e+32,721,0.5532819214126151
771,211053678.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,1481.2986538012763,322.11319286083534,2.9570110545409795e+32,1.7047754327874185e+32,2.142857142857143,4.345312028588807e+32,721,0.5765198037286515
698,211045643.0,2.53706284034917e+28,2.19067615356642e+28,3250.0,7000.0,3000.0,745.8269481977421,166.2618225059869,2.2055021998444542e+32,1.421672446432989e+32,3.5,4.3520718416008244e+32,721,0.6446025973282884
697,211045643.0,2.53706284034917e+28,2.19067615356642e+28,3250.0,7000.0,3000.0,718.1412578862298,154.97126378208867,2.1236322016715487e+32,1.353761947627619e+32,3.5,4.3520718416008244e+32,721,0.6374747692006407
491,211019565.0,4.7242320799195404e+29,1.3597432953833699e+29,3550.0,7000.0,3000.0,191.05276039266772,38.44242093157055,2.2200811350174825e+32,1.1836287164808625e+32,2.0,4.36529161865781e+32,721,0.5331466034332757
598,211031293.0,7.6618072894805e+30,2.29345522251962e+30,4000.0,7000.0,3000.0,96.27155859749126,18.827623546094056,4.2251894260709816e+32,2.0527484331746657e+32,1.0714285714285714,4.370910480787373e+32,721,0.4858358350772272
1415,211156183.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,1258.5856061336285,287.36575716402143,2.512424851580657e+32,1.4757755606215097e+32,2.4,4.375037344639711e+32,721,0.5873909262173737
364,211004687.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,1061.115309797051,204.08014527384626,2.11822895616666e+32,1.1679758571053848e+32,1.4285714285714286,4.3807115768349966e+32,721,0.5513926403966549
658,211039634.0,2.4228762028039504e+29,8.08937400878224e+28,3500.0,7000.0,3000.0,341.561098844708,75.18910098411719,3.0440456433815422e+32,1.66053975553028e+32,2.0,4.4545451502977866e+32,721,0.5455042236770256
1243,211107439.0,2.53706284034917e+28,2.19067615356642e+28,3250.0,7000.0,3000.0,595.0147892450763,124.35403345726479,1.7595320600725548e+32,1.109689345999035e+32,4.0,4.4694500720997864e+32,721,0.6306729903820432
667,211039840.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,1238.8912182770703,333.93709580255614,2.4731103470715124e+32,1.5546260847009861e+32,1.6363636363636362,4.473607902112961e+32,721,0.6286116939916845
1257,211110672.0,2.53706284034917e+28,2.19067615356642e+28,3250.0,7000.0,3000.0,531.120287082123,108.71347839519323,1.5705881429629825e+32,9.837644621949537e+31,1.1428571428571428,4.5172881708032e+32,721,0.6263669228643478
1331,211122237.0,3.75259092847031e+30,6.912527945600349e+29,3870.0,7000.0,3000.0,52.78204375762685,13.490179845289559,1.7565004834885588e+32,9.813776239266284e+31,2.3333333333333335,4.5178116749059274e+32,721,0.5587118438917417
210,210949721.0,2.4228762028039504e+29,8.08937400878224e+28,3500.0,7000.0,3000.0,241.6088218197301,50.55758000583145,2.153255402768452e+32,1.151182902507803e+32,1.6666666666666667,4.54415087319058e+32,721,0.5346244114969925
277,210982234.0,2.53706284034917e+28,2.19067615356642e+28,3250.0,7000.0,3000.0,509.68178573220194,98.14863197662336,1.5071918524389197e+32,9.257899736342907e+31,2.2,4.5618664287073846e+32,721,0.6142482605224999
1368,211131087.0,4.7242320799195404e+29,1.3597432953833699e+29,3550.0,7000.0,3000.0,209.53486984499537,42.6490786961958,2.4348478960216625e+32,1.3037993057872766e+32,1.5714285714285714,4.577921596295084e+32,721,0.5354746421398953
1050,211080295.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,1409.564441569055,271.4579746171217,2.8138131531487568e+32,1.5522384482890922e+32,1.7142857142857142,4.611519746041952e+32,721,0.5516494393211867
108,210877423.0,4.72423207991954e+32,1.0877946363067e+32,5170.0,7000.0,3000.0,8.011635095653372,2.6742094937877967,2.55541364393063e+32,1.6364483050082813e+32,4.25,4.61653228248346e+32,721,0.6403848977229242
751,211051561.0,6.372813724560239e+27,2.2744616118030298e+27,3100.0,7000.0,3000.0,1605.5377432879827,315.0783566844424,2.401250023631789e+32,1.402722956264986e+32,2.375,4.6821326672971694e+32,721,0.5841636407954832
824,211059880.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,879.3024565597033,156.4909249846136,1.7552888998175646e+32,9.426572457557661e+31,2.571428571428571,4.6865690876587094e+32,721,0.5370382310591384
443,211013066.0,3.75259092847031e+30,6.912527945600349e+29,3870.0,7000.0,3000.0,78.57452925677903,17.69159222778369,2.614832408975739e+32,1.3813791674568419e+32,1.3636363636363638,4.696647226419665e+32,721,0.5282859286564926
560,211027775.0,8.40100463596628e+29,3.38520490716622e+29,3650.0,7000.0,3000.0,192.39225000500556,36.534626303079456,3.0139353881435694e+32,1.5528636836574563e+32,1.9000000000000001,4.709570637809455e+32,721,0.5152279275017707
150,210901321.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,1150.6002194912742,226.29856869189874,2.2968613112973342e+32,1.2764698199141393e+32,2.2,4.723270350401856e+32,721,0.555745274490758
837,211060049.0,4.7242320799195404e+29,1.3597432953833699e+29,3550.0,7000.0,3000.0,266.0486508400598,50.84993525420425,3.0915522472060445e+32,1.6170771447425976e+32,1.1428571428571428,4.733839461540067e+32,721,0.523063178441837
327,210998478.0,1.42669527973314e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,357.81082390921716,70.64226938091142,2.3202202834962514e+32,1.4658828809789709e+32,1.25,4.739305509230069e+32,721,0.6317860814362367
939,211069863.0,1.42669527973314e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,592.4150146265791,143.00568870461643,3.841508532824765e+32,2.59590483376377e+32,2.2,4.741006932156096e+32,721,0.6757514168151361
1260,211112685.0,3.75259092847031e+30,6.912527945600349e+29,3870.0,7000.0,3000.0,76.0708668852258,15.800601128001125,2.531514601383457e+32,1.2931940107208003e+32,2.142857142857143,4.741586652609517e+32,721,0.5108380611409777
1387,211139647.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,991.4102299489462,188.49006796370787,1.9790816673065974e+32,1.0868913568178202e+32,2.25,4.763922246318588e+32,721,0.5491897453110206
1195,211101564.0,3.75259092847031e+30,6.912527945600349e+29,3870.0,7000.0,3000.0,79.2043010164274,21.613995333076804,2.635790187825482e+32,1.518263269393485e+32,2.0,4.8072297691495564e+32,721,0.5760182568423806
1005,211077833.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,740.9127018533892,146.62500644670322,1.479031283940001e+32,8.23767742279727e+31,2.8,4.945356545901297e+32,721,0.5569643801483948
748,211049922.0,1.18667344608522e+30,4.7817290276134705e+29,3700.0,7000.0,3000.0,165.98472873914307,38.399124769753236,3.2651616836889706e+32,1.806734022424099e+32,1.2777777777777777,4.9631880387201764e+32,721,0.5533367708709774
1135,211090925.0,4.7242320799195404e+29,1.3597432953833699e+29,3550.0,7000.0,3000.0,270.5289574347929,48.69212076425533,3.1436145368563915e+32,1.6092839877728783e+32,3.0,5.012550602620539e+32,721,0.5119215377411249
1104,211085091.0,1.42669527973314e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,423.3185086551092,88.05142808053466,2.7450041321560666e+32,1.763280205483478e+32,1.2307692307692308,5.037498600580094e+32,721,0.64235976362575
926,211068579.0,8.40100463596628e+29,3.38520490716622e+29,3650.0,7000.0,3000.0,146.10682057031948,28.912294844418437,2.2888474819259702e+32,1.1975616312997781e+32,2.25,5.0443010429805216e+32,721,0.523216003144115
1300,211117529.0,2.53706284034917e+28,2.19067615356642e+28,3250.0,7000.0,3000.0,943.3477283025658,190.4404443411436,2.7895954886279553e+32,1.7394719576811653e+32,2.1666666666666665,5.0996852731328505e+32,721,0.6235570586388901
1362,211129308.0,2.15939068873094e+31,7.70688025522413e+30,4230.0,7000.0,3000.0,35.95060808156239,9.635026578726931,2.7370559772725664e+32,1.8636341787128963e+32,1.6,5.111958673290133e+32,721,0.6808900490847756
1174,211097402.0,7.6618072894805e+30,2.29345522251962e+30,4000.0,7000.0,3000.0,66.29106769391032,13.651312749366722,2.9093983970315036e+32,1.4436372681875896e+32,1.3125,5.1799710537336304e+32,721,0.4961978633316603
970,211074151.0,1.42669527973314e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,357.06192641831785,73.47462505452795,2.31536406609718e+32,1.4821399277239757e+32,2.857142857142857,5.180973575476872e+32,721,0.6401325603287512
623,211036360.0,8.40100463596628e+29,3.38520490716622e+29,3650.0,7000.0,3000.0,217.33719873714324,44.929024681153095,3.4047123749362324e+32,1.8114987800767602e+32,1.2142857142857144,5.194540228381491e+32,721,0.5320563326911537
740,211048014.0,3.75259092847031e+30,6.912527945600349e+29,3870.0,7000.0,3000.0,83.97665968940582,19.310022862921915,2.794606514736964e+32,1.489732666030011e+32,2.8,5.194732943669301e+32,721,0.5330742121204239
1356,211129308.0,2.15939068873094e+31,7.70688025522413e+30,4230.0,7000.0,3000.0,33.52952029346447,6.9672821335296975,2.5527293926740274e+32,1.5844234274905388e+32,1.6,5.2006926010400845e+32,721,0.6206781776547134
304,210991540.0,2.53706284034917e+28,2.19067615356642e+28,3250.0,7000.0,3000.0,656.3061936085178,135.5311592977658,1.940778296189095e+32,1.2191693628770461e+32,2.0,5.279321283732076e+32,721,0.628185798074413
663,211039634.0,2.4228762028039504e+29,8.08937400878224e+28,3500.0,7000.0,3000.0,309.4410479007226,55.48835323695789,2.7577867530338283e+32,1.3918234157897919e+32,2.0,5.3173093818452906e+32,721,0.5046885565965727
776,211053737.0,4.40890990654803e+31,1.62430243634741e+31,4410.0,7000.0,3000.0,38.809990996372946,8.66569761196282,4.190655040042267e+32,2.7265982801172933e+32,1.5,5.341148717951575e+32,721,0.6506377294394989
626,211036665.0,3.75259092847031e+30,6.912527945600349e+29,3870.0,7000.0,3000.0,52.093371994792896,90.87789762220169,1.73358260842602e+32,3.549767804339522e+32,3.0,5.348483803769319e+32,721,2.047648486484575
747,211049922.0,1.18667344608522e+30,4.7817290276134705e+29,3700.0,7000.0,3000.0,146.02357982052584,31.104980829696675,2.8724967734495002e+32,1.5368112551570788e+32,1.3846153846153846,5.386486395454829e+32,721,0.5350088708059941
664,211039634.0,2.4228762028039504e+29,8.08937400878224e+28,3500.0,7000.0,3000.0,304.569453880421,56.76554960861126,2.7143703493392e+32,1.3890795695671174e+32,2.0,5.406139205905877e+32,721,0.5117502001542574
378,211005924.0,2.4228762028039504e+29,8.08937400878224e+28,3500.0,7000.0,3000.0,283.5149527470718,58.44591722868935,2.526729360171161e+32,1.3430024161631646e+32,2.75,5.4233809304831375e+32,721,0.5315181108562372
826,211059880.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,2732.62118668798,490.01118493744536,5.4549371500294845e+32,2.9368599799060247e+32,2.2,5.4886048596423635e+32,721,0.5383856677230737
177,210931244.0,4.7242320799195404e+29,1.3597432953833699e+29,3550.0,7000.0,3000.0,354.6776482648689,75.08667941139116,4.121443491875457e+32,2.240569063709811e+32,1.4166666666666665,5.500887482461386e+32,721,0.5436369728534707
580,211030439.0,3.75259092847031e+30,6.912527945600349e+29,3870.0,7000.0,3000.0,88.68693284801499,18.651210801881383,2.951356736809687e+32,1.5153240261589975e+32,1.25,5.577464927586215e+32,721,0.5134330280239214
338,211002011.0,1.45992728187096e+32,4.70624951452793e+31,4830.0,7000.0,3000.0,16.268398857972507,3.661733674280125,3.1275859589110506e+32,1.9853231844243906e+32,1.875,5.638468473723223e+32,721,0.6347781357592588
402,211007577.0,2.4228762028039504e+29,8.08937400878224e+28,3500.0,7000.0,3000.0,373.7335584768898,67.71350713030301,3.3307716081107336e+32,1.6872082838376794e+32,3.2222222222222223,5.655598394027049e+32,721,0.5065517790920196
202,210947594.0,1.42669527973314e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,697.2166101844234,130.48744043115119,4.521093306419473e+32,2.809912782963135e+32,2.142857142857143,5.6804149415050966e+32,721,0.6215117876406924
1322,211121141.0,7.6618072894805e+30,2.29345522251962e+30,4000.0,7000.0,3000.0,87.17270539731214,19.20860704344542,3.825856758242222e+32,1.9535556476270032e+32,1.5555555555555554,5.6921761790257324e+32,721,0.510619129537029
1149,211093429.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,488.23093988006906,92.2181953202861,9.746206699705654e+31,5.34042312779891e+31,2.1,5.713925036129214e+32,721,0.5479488884593631
86,210872505.0,2.4228762028039504e+29,8.08937400878224e+28,3500.0,7000.0,3000.0,182.81984563269447,40.67119682680366,1.629318902252712e+32,8.926004127494229e+31,1.7777777777777777,5.851882878064886e+32,721,0.5478365294328231
969,211074151.0,1.42669527973314e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,415.0335865531443,84.85653372624783,2.6912806474997095e+32,1.719227778235547e+32,1.923076923076923,5.879731846312217e+32,721,0.6388140084285775
152,210907442.0,2.4228762028039504e+29,8.08937400878224e+28,3500.0,7000.0,3000.0,427.9742846585416,90.40951897309218,3.8141733970895676e+32,2.04676337560194e+32,1.4545454545454546,5.933253450668957e+32,721,0.5366204318775171
458,211014750.0,1.30116155957454e+28,1.12351320399495e+28,3200.0,7000.0,3000.0,1663.1875502516677,347.78906434382463,3.3201029105430456e+32,1.8864044920231104e+32,1.909090909090909,5.981528742871392e+32,721,0.5681765122499063
103,210877423.0,4.72423207991954e+32,1.0877946363067e+32,5170.0,7000.0,3000.0,12.952704287029535,3.03699091378313,4.1314309583110985e+32,2.2353598095636765e+32,2.888888888888889,6.036183233295908e+32,721,0.5410618819774436
1190,211100894.0,4.7242320799195404e+29,1.3597432953833699e+29,3550.0,7000.0,3000.0,160.49074821435133,38.079919419966174,1.8649428656420312e+32,1.0615342587675156e+32,4.25,6.051354004780192e+32,721,0.569204707728174
508,211023167.0,1.42669527973314e+29,4.76337656086982e+28,3410.0,7000.0,3000.0,713.0390507324458,148.1008644981652,4.6236937450894036e+32,2.9686920509264037e+32,3.4,6.0678826191828595e+32,721,0.6420607018099554
231,210966931.0,2.4228762028039504e+29,8.08937400878224e+28,3500.0,7000.0,3000.0,305.5290761950455,52.21766140739518,2.722922652678207e+32,1.351330750088598e+32,4.222222222222222,6.090854242735505e+32,721,0.49627952110922385
