angDist,col1,Name,EPIC,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,ProtA,ProtD,ProtS,ProtK,Kpmag,Notes,PrCat,PCat,All,2M,Simbad,RAJ2000,DEJ2000,objID,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
1.280863,12,KW100,211990866,1.19,10.39,9.18,4.26,0.3217,0,Y,0.00788,,,,M,Y,N,conf,0.01358,0.28341,K,,,,4.3,10.41,complex peaks,0,1,All,2M,Simbad,129.60125,20.106063,132121296013548097,129.601468200, 20.106353870,0.018,0.018,90,268959744,32,55622.051192130,0,9,15.1143,0.0020,14.5178,0.0017,24,,,,,0,10.1276,0.0421,12.1714,0.0640,24,12.1287,0.0489,12.0384,0.0974,24,,,,,0
1.539837,12,KW100,211990866,1.19,10.39,9.18,4.26,0.3217,0,Y,0.00788,,,,M,Y,N,conf,0.01358,0.28341,K,,,,4.3,10.41,complex peaks,0,1,All,2M,Simbad,129.60125,20.106063,132121296015917882,129.601677910, 20.105916420,0.015,0.015,90,1082208256,129,55218.630879630,1,4,,,,,32,14.7255,0.3978,,,16777272,13.6111,0.0010,,,16777272,,,,,32,,,,,114720
1.909066,12,KW100,211990866,1.19,10.39,9.18,4.26,0.3217,0,Y,0.00788,,,,M,Y,N,conf,0.01358,0.28341,K,,,,4.3,10.41,complex peaks,0,1,All,2M,Simbad,129.60125,20.106063,132121296006687717,129.600773100, 20.105779000,0.016,0.016,90,310456320,37,55903.483483800,0,7,12.5816,0.0016,13.3321,0.0010,24,14.5148,0.0583,13.5184,0.0010,16777240,13.6071,0.0010,11.8882,0.0010,16777240,13.4190,0.0012,12.3748,0.0011,16778264,,,,,0
0.104949,13,KW293,211950227,1.33,9.77,8.76,,,3,,,,,,,,,,,,D,,13.15,,,9.82,,2,1,All,2M,Simbad,130.106426,19.475770999999998,131371301063451358,130.106445000, 19.475794000,0.053,0.053,90,1140924416,136,51105.499594910,5,47,9.9790,,,,65572,9.7810,,,,65572,9.7550,,,,65572,9.7910,,,,65572,9.8170,,,,114724
1.170104,13,KW293,211950227,1.33,9.77,8.76,,,3,,,,,,,,,,,,D,,13.15,,,9.82,,2,1,All,2M,Simbad,130.106426,19.475770999999998,131371301061850955,130.106167400, 19.475556050,0.071,0.071,90,302145536,36,55769.749050930,0,15,,,,,0,,,,,0,9.8561,0.0358,12.0425,0.1666,24,9.7316,0.0159,12.6484,0.0015,24,10.5271,0.0145,9.7934,0.0066,16778256
1.240430,13,KW293,211950227,1.33,9.77,8.76,,,3,,,,,,,,,,,,D,,13.15,,,9.82,,2,1,All,2M,Simbad,130.106426,19.475770999999998,131371301064071817,130.106380220, 19.476112850,0.085,0.085,90,302067712,36,55306.279479170,0,13,,,,,0,9.9192,0.1390,12.6206,0.2743,24,10.0182,0.2689,12.2786,0.2122,16777240,13.4967,0.0139,12.0298,0.0259,16777240,11.5785,0.0010,11.1194,0.0011,16778264
0.104533,14,KW182,211988531,1.3,10.13,8.81,7.22,0.7182,0,Y,0.00913,,,,N,Y,N,cand,0.01312,0.5972,D,,7.02,,7.11,10.17,,2,1,All,2M,Simbad,129.876756,20.069053,132081298767393356,129.876757560, 20.069082000,0.050,0.050,90,1141006336,136,51875.933368060,3,43,10.4460,,,,36,10.1180,,,,65572,10.0220,,,,36,10.0100,,,,36,10.0100,,,,114724
0.737386,14,KW182,211988531,1.3,10.13,8.81,7.22,0.7182,0,Y,0.00913,,,,N,Y,N,cand,0.01312,0.5972,D,,7.02,,7.11,10.17,,2,1,All,2M,Simbad,129.876756,20.069053,132081298763463290,129.876537930, 20.069052460,0.001,0.001,90,1343750144,160,56172.333472220,3,7,,,,,114720,10.5911,0.0616,13.7133,0.2707,24,10.9952,0.3658,,,114744,,,,,0,,,,,114720
1.348349,14,KW182,211988531,1.3,10.13,8.81,7.22,0.7182,0,Y,0.00913,,,,N,Y,N,cand,0.01312,0.5972,D,,7.02,,7.11,10.17,,2,1,All,2M,Simbad,129.876756,20.069053,132081298766113026,129.876582040, 20.068715980,0.165,0.165,90,268513280,32,55306.271122690,0,9,10.6787,0.0010,13.7790,0.0010,24,,,,,0,10.9788,0.0246,12.6755,0.0952,24,11.2284,0.0010,11.2372,0.0010,16,10.6565,0.2120,10.8822,0.0313,24
0.066083,15,KW341,211950703,1.22,9.93,9.05,3.82,0.2884,0,Y,0.00772,,,,M,Y,N,conf,0.00499,0.13437,K,,,,4.02,10.21,either very strong spot evolution or there's another period. There's a fourth peak around 1.,1,1,All,2M,Simbad,130.218848,19.483220000000003,131381302187050307,130.218866000, 19.483213000,0.052,0.052,90,1409359872,168,51105.506597220,3,38,10.6520,,,,114724,10.4160,,,,4,10.3100,,,,4,10.2130,,,,114724,10.1700,,,,114724
