K2 ID,Dataset Name,Campaign,Object type,Data Release,RA (J2000),Dec (J2000),Target Type,Archive Class,Ref,Actual Start Time,Actual End Time,Investigation ID,RA PM,RA PM Err,Dec PM,Dec PM Err,Plx,Plx Err,U Mag,U Mag Err,B Mag,B Mag Err,V Mag,V Mag Err,G Mag,G Mag Err,R Mag,R Mag Err,I Mag,I Mag Err,Z Mag,Z Mag Err,J Mag,J Mag Err,H Mag,H Mag Err,K Mag,K Mag Err,KEP Mag,Kep Flag,Hip ID,Tyc ID,SDSS ID,UCAC ID,2MASS ID,2MASS Flag,Processing Date,crowding,contamination,flux fraction,cdpp3,cdpp6,cdpp12,Module,Output,Channel,Nearest Neighbor,Nomad ID,High-Level Science Products
integer,string,integer,substring,string,ra,dec,ustring,string,integer,datetime,datetime,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,integer,string,string,string,string,string,datetime,float,float,float,float,float,float,integer,integer,integer,float,string,integer
212001288,KTWO212001288-C05,5,STAR,7,08 36 34.913,+20 16 30.73,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5032_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,13.024,0.023,12.376,0.025,12.142,0.022,15.351,JHK,,,,,08363491+2016307,,2015-10-30 05:14:24,1.000,0.000,0.857,614.611,526.307,427.096,14,3,47,,,14
212001425,KTWO212001425-C05,5,STAR,7,08 36 41.188,+20 16 39.95,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,14.053,0.025,13.495,0.027,13.156,0.026,16.423,JHK,,,,,08364118+2016399,,2015-10-30 06:22:52,1.000,0.000,0.811,1541.936,1321.097,1101.879,14,3,47,,,14
212002216,KTWO212002216-C05,5,STAR,7,08 44 48.710,+20 17 25.99,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5007_GO5018_GO5020_GO5024_GO5029_GO5032_GO5033_GO5048_GO5060_GO5089_GO5095_GO5106,-37.200,1.500,-12.800,2.000,,,,,13.912,0.020,12.834,0.020,13.404,0.010,12.441,0.030,12.141,0.060,,,11.080,0.022,10.578,0.022,10.508,0.019,12.520,gri,,,,552-044368,08444870+2017259,,2015-10-30 05:50:15,1.000,0.000,0.964,304.944,264.067,247.083,14,4,48,,,14
212002298,KTWO212002298-C05,5,STAR,7,08 39 19.609,+20 17 30.60,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048_GO5095,-26.000,3.000,-12.000,3.000,,,21.674,0.156,,,,,19.435,0.012,17.957,0.007,16.393,0.004,15.546,0.006,14.074,0.024,13.489,0.027,13.161,0.033,17.306,gri,,,5045-301-4-0127-0245,,08391960+2017306,,2015-10-30 07:49:07,1.000,0.000,0.841,964.657,719.303,548.383,14,3,47,,,14
212002525,KTWO212002525-C05,5,STAR,7,08 39 42.034,+20 17 45.06,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048,-37.000,3.000,-12.000,3.000,,,21.751,0.155,,,,,19.411,0.012,17.906,0.006,16.326,0.004,15.460,0.006,14.027,0.024,13.456,0.027,13.136,0.035,17.251,gri,,,5045-301-4-0127-0317,,08394203+2017450,,2015-10-30 09:14:11,1.000,2.000e-4,0.724,2799.385,2492.861,2139.501,14,3,47,,,14
212002808,KTWO212002808-C05,5,STAR,7,08 33 23.486,+20 18 03.27,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048_GO5095,-33.000,5.000,-13.000,5.000,,,24.073,0.614,,,,,20.978,0.028,19.490,0.014,17.686,0.007,16.697,0.009,15.014,0.043,14.513,0.045,14.129,0.052,18.674,gri,,,5037-301-6-0107-0439,,08332348+2018032,,2015-10-30 05:06:08,0.856,0.144,0.670,4677.243,3599.331,2831.055,19,1,65,,,22
212002808,KTWO212002808-C16,16,STAR,23,08 33 23.486,+20 18 03.27,LC,KLC,,2017-12-07 23:16:00,2018-02-25 12:25:09,GO16022_GO16031_GO16060,-33.000,5.000,-13.000,5.000,,,24.073,0.614,,,,,20.978,0.028,19.490,0.014,17.686,0.007,16.697,0.009,15.014,0.043,14.513,0.045,14.129,0.052,18.674,gri,,,5037-301-6-0107-0439,,08332348+2018032,,2018-05-24 17:20:22,0.727,0.273,0.758,,,,2,2,2,,,22
212003318,KTWO212003318-C05,5,STAR,7,08 38 16.958,+20 18 35.31,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5011_GO5018_GO5024_GO5026_GO5048,-28.000,4.000,-14.000,4.000,,,22.356,0.287,,,,,19.716,0.014,18.272,0.008,16.559,0.005,15.635,0.006,14.103,0.036,13.532,0.045,13.239,0.029,17.506,gri,,,5045-301-4-0126-0211,,08381695+2018353,,2015-10-30 06:55:27,1.000,0.000,0.670,1823.747,1544.284,1300.450,14,3,47,,,14
212003469,KTWO212003469-C05,5,STAR,7,08 40 28.639,+20 18 44.86,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5007_GO5018_GO5020_GO5024_GO5029_GO5032_GO5033_GO5048_GO5089_GO5095_GO5104_GO5106,-35.800,1.300,-16.100,1.100,,,,,12.432,0.040,11.604,0.030,11.987,0.020,11.318,0.030,11.033,0.070,,,10.048,0.023,9.591,0.023,9.462,0.018,11.319,gri,,,,552-044189,08402863+2018449,,2015-10-30 08:42:25,1.000,0.000,0.986,93.424,81.802,80.190,14,3,47,,,14
212003867,KTWO212003867-C05,5,STAR,7,08 41 41.759,+20 19 08.44,LC,KLC,,2015-04-27 02:32:54,2015-07-10 22:25:00,GO5018_GO5024_GO5026_GO5048_GO5095,,,,,,,,,,,,,,,,,,,,,15.103,0.036,14.457,0.059,14.338,0.067,17.043,JHK,,,,,08414175+2019084,,2015-10-30 07:09:54,1.000,0.000,0.839,4666.626,3486.121,2592.258,14,4,48,,,14
