,Unnamed: 0,EPIC,Tmax_x,Tmin,alpha,alpha_err,beta,beta_err,cluster,count_per_yr,high_yerr,istart,istop,logE,low_yerr,maxenerg,n_obj,nflares,tobs,nobin,clr,age,Tmax_y,saturated1
1369,225,212111862,3499.0,3250.0,-2.13103450691177,0.054078339252056636,37.50642842556224,1.7956373974977349,M44,0.2416921872183373,0.1538160378067741,1653,1655,32.924821787630094,0.2403350634695993,1.4958310415191962e+34,164,55,26.940501178796872,False,o,0.63,7000.0,0.0
1406,163,211988700,3499.0,3250.0,-2.13103450691177,0.054078339252056636,37.50642842556224,1.7956373974977349,M44,-0.4304056707173802,0.2910591605816433,455,458,33.45457014165684,1.3429986619133878,1.4958310415191962e+34,164,55,26.940501178796872,False,o,0.63,7000.0,0.0
1416,169,212078811,3749.0,3500.0,-2.0215233950110285,0.030489933393512293,34.00882689243167,1.00825018366566,M44,0.546750671938129,0.101906903448564,2842,2844,32.575782749156254,0.13339681278721005,3.4447382551923174e+34,152,88,24.988028937561797,False,o,0.63,,
1417,119,211985566,3749.0,3500.0,-2.0215233950110285,0.030489933393512293,34.00882689243167,1.00825018366566,M44,0.5417872524065788,0.10256666722442342,1493,1495,32.63867078200721,0.1345333672726079,3.4447382551923174e+34,152,88,24.988028937561797,False,o,0.63,,
1418,19,211908928,3749.0,3500.0,-2.0215233950110285,0.030489933393512293,34.00882689243167,1.00825018366566,M44,0.536766451031528,0.1018695054087908,608,610,32.66301004616211,0.13333252896161008,3.4447382551923174e+34,152,88,24.988028937561797,False,o,0.63,,
1419,109,211980574,3749.0,3500.0,-2.0215233950110285,0.030489933393512293,34.00882689243167,1.00825018366566,M44,0.5316869255022532,0.10268980520031512,53,55,32.66625053139329,0.1347460146029431,3.4447382551923174e+34,152,88,24.988028937561797,False,o,0.63,,
1420,15,211889082,3749.0,3500.0,-2.0215233950110285,0.030489933393512293,34.00882689243167,1.00825018366566,M44,0.5265472858498419,0.10172392290929057,2620,2622,32.67357525076129,0.1330824291522188,3.4447382551923174e+34,152,88,24.988028937561797,False,o,0.63,,
1421,16,211892240,3749.0,3500.0,-2.0215233950110285,0.030489933393512293,34.00882689243167,1.00825018366566,M44,0.5213460921640343,0.10251284171803897,2701,2703,32.73510100665306,0.1344404674690609,3.4447382551923174e+34,152,88,24.988028937561797,False,o,0.63,,
1422,155,212013619,3749.0,3500.0,-2.0215233950110285,0.030489933393512293,34.00882689243167,1.00825018366566,M44,0.516081852171677,0.103468770037634,1098,1101,32.742859214259965,0.1360950319940044,3.4447382551923174e+34,152,88,24.988028937561797,False,o,0.63,,
982,389,211131087,3749.0,3500.0,-2.369090032574532,0.0366329050476491,46.13363146210987,1.2185295781185863,Pleiades,0.8736034850417207,0.07880547018797257,2576,2578,33.01286786779037,0.09634695815791172,2.298953699263612e+34,130,179,19.93346433188836,False,v,0.125,7000.0,0.0
983,64,210969937,3749.0,3500.0,-2.369090032574532,0.0366329050476491,46.13363146210987,1.2185295781185863,Pleiades,0.8706789320244042,0.07914169026229567,1188,1190,33.01375067871675,0.09685068608442338,2.298953699263612e+34,130,179,19.93346433188836,False,v,0.125,7000.0,0.0
1117,86,210988354,3749.0,3500.0,-2.369090032574532,0.0366329050476491,46.13363146210987,1.2185295781185863,Pleiades,-0.15345474769231535,0.2106273030728312,2185,2203,33.7130455438467,0.4249904867079552,2.298953699263612e+34,130,179,19.93346433188836,False,v,0.125,7000.0,0.0
1118,223,211068337,3749.0,3500.0,-2.369090032574532,0.0366329050476491,46.13363146210987,1.2185295781185863,Pleiades,-0.1856394310637166,0.2197281801265183,878,880,33.737199415109835,0.466670995755555,2.298953699263612e+34,130,179,19.93346433188836,False,v,0.125,7000.0,0.0
1119,50,210947895,3749.0,3500.0,-2.369090032574532,0.0366329050476491,46.13363146210987,1.2185295781185863,Pleiades,-0.22040153732292844,0.225911544327402,2082,2088,33.76283019465138,0.4980256760215014,2.298953699263612e+34,130,179,19.93346433188836,False,v,0.125,7000.0,0.0
1120,272,211081985,3749.0,3500.0,-2.369090032574532,0.0366329050476491,46.13363146210987,1.2185295781185863,Pleiades,-0.2581900982123284,0.23476765670964195,883,896,33.80000052804049,0.5481975569718605,2.298953699263612e+34,130,179,19.93346433188836,False,v,0.125,7000.0,0.0
1121,77,210983092,3749.0,3500.0,-2.369090032574532,0.0366329050476491,46.13363146210987,1.2185295781185863,Pleiades,-0.2995827833705533,0.24700953364546696,1128,1136,33.80983450318098,0.63092631234713,2.298953699263612e+34,130,179,19.93346433188836,False,v,0.125,7000.0,0.0
1122,376,211126627,3749.0,3500.0,-2.369090032574532,0.0366329050476491,46.13363146210987,1.2185295781185863,Pleiades,-0.3453402739312285,0.26407645216893394,2124,2132,33.821307680896986,0.7874439921559281,2.298953699263612e+34,130,179,19.93346433188836,False,v,0.125,7000.0,0.0
1423,146,212005503,3749.0,3500.0,-2.0215233950110285,0.030489933393512293,34.00882689243167,1.00825018366566,M44,0.5107530186666099,0.1041307756658234,2819,2821,32.75026094847343,0.1372467130996271,3.4447382551923174e+34,152,88,24.988028937561797,False,o,0.63,,
1123,360,211117529,3749.0,3500.0,-2.369090032574532,0.0366329050476491,46.13363146210987,1.2185295781185863,Pleiades,-0.3964927963786098,0.2658191535235321,756,763,33.875950715136945,0.8075643829376298,2.298953699263612e+34,130,179,19.93346433188836,False,v,0.125,7000.0,0.0
1125,202,211055468,3749.0,3500.0,-2.369090032574532,0.0366329050476491,46.13363146210987,1.2185295781185863,Pleiades,-0.5214315329869097,0.3113042611790451,358,361,33.914566185923675,3.079181246047625,2.298953699263612e+34,130,179,19.93346433188836,False,v,0.125,7000.0,0.0
1126,51,210947895,3749.0,3500.0,-2.369090032574532,0.0366329050476491,46.13363146210987,1.2185295781185863,Pleiades,-0.6006127790345345,0.3211857659038785,2883,2885,34.02469790273304,3.0,2.298953699263612e+34,130,179,19.93346433188836,False,v,0.125,7000.0,0.0
1127,253,211077349,3749.0,3500.0,-2.369090032574532,0.0366329050476491,46.13363146210987,1.2185295781185863,Pleiades,-0.6975227920425909,0.34766885758261146,850,854,34.066232068206695,2.903089986991944,2.298953699263612e+34,130,179,19.93346433188836,False,v,0.125,7000.0,0.0
