,EPIC,Tmax,Tmin,alpha,alpha_err,beta,beta_err,cluster,count_per_yr,high_yerr,istart,istop,logE,low_yerr,maxenerg,n_obj,nflares,tobs
1195,211092628,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.6041122926119171,0.048441744736410275,3103.0,3109.0,33.15572382005824,0.05453134031711926,6.024271647734758e+34,737,596,105.50026827135146
225,210983092,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.6030868033942269,0.048529445495593126,681.0,685.0,33.15681182186011,0.05464253291679988,6.024271647734758e+34,737,596,105.50026827135146
1308,211107439,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.6020588869808585,0.04858070319888874,2424.0,2426.0,33.157825570975945,0.0547075442774454,6.024271647734758e+34,737,596,105.50026827135146
396,211012609,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.6010285318548529,0.04858300957086348,1094.0,1104.0,33.15800028543604,0.054710469912936155,6.024271647734758e+34,737,596,105.50026827135146
1216,211095218,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.599995726417085,0.04864190656099421,1177.0,1179.0,33.15852627757091,0.0547851927564742,6.024271647734758e+34,737,596,105.50026827135146
633,211039840,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.5989604589854798,0.04861712153898301,1050.0,1063.0,33.158900827801716,0.05475374509962627,6.024271647734758e+34,737,596,105.50026827135146
681,211046168,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.5979227177942197,0.048662623094790636,3064.0,3067.0,33.159942625047094,0.05481148137077918,6.024271647734758e+34,737,596,105.50026827135146
680,211046168,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.5968824909929422,0.04874360055597382,2932.0,2935.0,33.159942625047094,0.05491426646585662,6.024271647734758e+34,737,596,105.50026827135146
964,211071504,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.5958397666459274,0.048824933319048025,2990.0,2992.0,33.160373212087265,0.05501754633988787,6.024271647734758e+34,737,596,105.50026827135146
692,211047055,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.5947945327312771,0.04889840217788377,1630.0,1633.0,33.16061560005892,0.05511087803932391,6.024271647734758e+34,737,596,105.50026827135146
1418,211126627,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.5937467771400837,0.04880327274495455,2369.0,2371.0,33.162807123471794,0.05499003651300294,6.024271647734758e+34,737,596,105.50026827135146
1143,211086170,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.5926964876755858,0.04878064218105349,811.0,813.0,33.163096116898814,0.05496129808553141,6.024271647734758e+34,737,596,105.50026827135146
1398,211121141,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.5916436520523192,0.04879631748924318,2648.0,2650.0,33.16363122625321,0.05498120371056414,6.024271647734758e+34,737,596,105.50026827135146
77,210909923,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.5905882578952539,0.04889012486056599,2705.0,2707.0,33.165234689490745,0.05510036109711125,6.024271647734758e+34,737,596,105.50026827135146
42,210881103,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.5895302927389201,0.0489704037456975,1225.0,1231.0,33.16551039725705,0.05520238054464377,6.024271647734758e+34,737,596,105.50026827135146
44,210881103,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.5884697440265265,0.048908235102629316,1603.0,1605.0,33.16551039725705,0.055123372087007905,6.024271647734758e+34,737,596,105.50026827135146
1224,211096421,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.5874065991090647,0.04884508321738634,1248.0,1251.0,33.16576319823483,0.055043140342558416,6.024271647734758e+34,737,596,105.50026827135146
654,211042656,7000.0,3000.0,-2.1593054698994196,0.01612329595846111,39.03806720762981,0.536723824587438,Pleiades,0.5863408452444046,0.048931307587994244,1088.0,1090.0,33.16683144812562,0.05515269129147349,6.024271647734758e+34,737,596,105.50026827135146
