,Unnamed: 0,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,istart,istop,stars_in_bin,age,saturated
363,973,211067634,1.4266952797331432e+29,4.76337656086982e+28,3410,7000.0,3000.0,763.2569730157991,135.22569821927783,4.8655274592620674e+32,2.9759990141559017e+32,1.3846153846153846,6.479474839180932e+32,1195.0,1205.0,712,0.125,False
364,1545,211163008,2.4228762028039462e+29,8.089374008782233e+28,3500,7000.0,3000.0,846.6523569891895,186.99940122799273,7.545497503869471e+32,4.1216503913497655e+32,1.2857142857142856,6.552354766189466e+32,855.0,857.0,712,0.125,False
365,634,211031293,5.424144171351381e+30,1.6236419564565546e+30,3940,7000.0,3000.0,134.43790937887007,26.291735430314645,4.810112899769495e+32,2.3492212063707533e+32,1.2222222222222219,6.559423995679741e+32,1085.0,1090.0,712,0.125,True
366,478,211013159,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,2224.777610267645,437.50120653917617,4.441165169882928e+32,2.4680264275108688e+32,2.0,6.630582749161946e+32,2006.0,2011.0,712,0.125,False
367,472,211013066,3.752590928470313e+30,6.912527945600352e+29,3870,7000.0,3000.0,130.51593787966422,29.3865553384089,4.3433579237914005e+32,2.294534874257673e+32,1.4615384615384617,6.686366796871863e+32,1936.0,1938.0,712,0.125,True
368,1460,211126627,2.53706284034917e+28,2.190676153566424e+28,3250,7000.0,3000.0,2052.9437713134816,381.55675176715204,6.07080773191425e+32,3.6882473852630706e+32,3.333333333333333,6.7261026830996e+32,2124.0,2132.0,712,0.125,False
369,573,211025708,6.372813724560243e+27,2.274461611803033e+27,3100,7000.0,3000.0,1431.4622108983906,275.169543595185,2.1206232171184392e+32,1.2301234243835378e+32,2.583333333333333,6.740363067798672e+32,2138.0,2145.0,712,0.125,False
370,1479,211129308,2.1593906887309408e+31,7.706880255224127e+30,4230,7000.0,3000.0,49.78896719281985,13.343808292250008,3.790622677317807e+32,2.5809972608207843e+32,1.5,6.761946433322392e+32,3098.0,3100.0,712,0.125,True
371,311,210988354,4.724232079919543e+29,1.3597432953833746e+29,3550,7000.0,3000.0,343.17709589031887,58.81568900080521,3.98780418032328e+32,2.007136769169045e+32,1.0714285714285714,6.795801935726293e+32,1241.0,1250.0,712,0.125,False
372,963,211066263,6.987651297062333e+31,2.574345873865e+31,4620,7000.0,3000.0,31.32596314698653,5.962722711563312,4.195795435617496e+32,2.5845324336236974e+32,1.1333333333333333,6.821325581877853e+32,977.0,985.0,712,0.125,True
373,156,210919084,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,2390.040700597069,452.8334115696074,4.771068112653895e+32,2.6170901327325208e+32,1.8461538461538465,6.871183387540975e+32,2432.0,2438.0,712,0.125,False
374,1107,211079332,1.3011615595745358e+28,1.1235132039949538e+28,3200,7000.0,3000.0,881.2733820554479,142.15531700516416,1.7592233180819983e+32,9.154528100873803e+31,4.2,6.874365680198549e+32,186.0,193.0,712,0.125,False
