,EPIC,Tmax,Tmin,alpha,alpha_err,beta,beta_err,cluster,count_per_yr,high_yerr,istart,istop,logE,low_yerr,maxenerg,n_obj,nflares,tobs
52,211940224,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.3262261598072167,0.12809295366454898,2727.0,2730.0,32.93017317759028,0.18246926226416882,3.4447382551923174e+34,132,71,21.703594760057797
11,211885995,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.31668084190098633,0.12815611136337712,2460.0,2464.0,32.96413137471009,0.18259840936611393,3.4447382551923174e+34,132,71,21.703594760057797
114,212013619,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.30692100461183003,0.1301644433489466,831.0,836.0,32.98646557950092,0.18673517885586866,3.4447382551923174e+34,132,71,21.703594760057797
135,212171351,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.29693678370522925,0.13056830959872867,484.0,488.0,33.01335711833408,0.1875741722894344,3.4447382551923174e+34,132,71,21.703594760057797
44,211939462,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.28671761852354316,0.13237082511600007,1603.0,1605.0,33.01739505968651,0.1913482316491344,3.4447382551923174e+34,132,71,21.703594760057797
46,211939462,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.27625218484537806,0.13142433012235366,2232.0,2234.0,33.01739505968651,0.18936044420263642,3.4447382551923174e+34,132,71,21.703594760057797
97,211987847,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.2655283194536051,0.13029739529903073,637.0,639.0,33.03958855610644,0.18701110875951454,3.4447382551923174e+34,132,71,21.703594760057797
55,211946063,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.2545329351521417,0.13251306307840593,980.0,987.0,33.044194211984575,0.19164811726431696,3.4447382551923174e+34,132,71,21.703594760057797
117,212013619,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.24325192474245272,0.13501989624014943,1396.0,1398.0,33.05158679300304,0.1969839946106191,3.4447382551923174e+34,132,71,21.703594760057797
120,212014492,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.2316700521926376,0.1369042096749542,2526.0,2528.0,33.05489607685724,0.2010590683937612,3.4447382551923174e+34,132,71,21.703594760057797
127,212021253,3749.0,3500.0,-2.0105203670455314,0.02276537097724869,33.61013490671552,0.7541400377914899,M44,0.21977082889292987,0.13843450203791985,1536.0,1538.0,33.05558599865552,0.20441009205439564,3.4447382551923174e+34,132,71,21.703594760057797
