,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,istart,istop,stars_in_bin,tobs
115,212013619,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,132.18747191821691,150.58759501941458,3.849941557324718e+32,5.64225877154337e+32,3.8000000000000003,7.179040226846838e+32,1089.0,1094.0,132,21.703594760057797
108,212007343,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,294.48104136120253,51.415254794531464,8.576718977439733e+32,4.296447103313476e+32,2.75,7.216363424818186e+32,178.0,183.0,132,21.703594760057797
123,212019656,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,158.63363460517894,28.29366439927409,6.1045897196279026e+32,3.118361441324596e+32,4.0,7.273306875517532e+32,561.0,563.0,132,21.703594760057797
75,211970517,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,110.55836803419307,19.453685001255202,4.254542100104785e+32,2.1631045135051916e+32,1.5454545454545454,7.551270078400597e+32,3295.0,3298.0,132,21.703594760057797
3,211827220,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,98.09587726643834,18.158775804955177,3.774956587163954e+32,1.953828538902833e+32,1.4285714285714286,7.639409681356813e+32,1785.0,1787.0,132,21.703594760057797
6,211846954,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,100.20041741110639,18.338613636507297,2.918323086555216e+32,1.4864950274608367e+32,4.0,7.822758703244783e+32,1752.0,1754.0,132,21.703594760057797
4,211846954,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,211.51811303728496,38.35514201178415,6.16043533999175e+32,3.1275266534107978e+32,4.0,7.824683468158223e+32,251.0,254.0,132,21.703594760057797
18,211912940,1.3742317915994988e+32,5.53749986589713e+31,3650,3749.0,3500.0,127.07212746937937,22.115727782592707,6.574964410222569e+32,3.289045140687878e+32,2.6666666666666665,8.007443359302646e+32,2983.0,2986.0,132,21.703594760057797
0,211827220,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,85.49813263295584,14.504104928343091,3.290166192166952e+32,1.652013033295704e+32,2.428571428571429,8.098901288443415e+32,931.0,934.0,132,21.703594760057797
28,211923569,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,112.4117802751589,20.081215497569293,4.32586569639376e+32,2.2109658614810224e+32,1.1666666666666667,8.263026262329699e+32,2113.0,2118.0,132,21.703594760057797
52,211940224,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,162.7004748947603,27.8258577826008,4.738628484258662e+32,2.3568605723273154e+32,3.230769230769231,8.514775023964502e+32,2727.0,2730.0,132,21.703594760057797
11,211885995,1.577829208301114e+32,6.357900525068292e+31,3700,3749.0,3500.0,72.13394942787586,24.80954030628649,4.7079969727405676e+32,3.140748554391066e+32,1.4615384615384615,9.20728051200507e+32,2460.0,2464.0,132,21.703594760057797
114,212013619,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,177.67802183725323,42.33541343778982,5.17484743575174e+32,2.9218080141445035e+32,3.0,9.693164419877125e+32,831.0,836.0,132,21.703594760057797
135,212171351,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,292.9691558082418,52.57875196360305,8.532685523014766e+32,4.31596361683092e+32,1.8571428571428572,1.0312337506131385e+33,484.0,488.0,132,21.703594760057797
44,211939462,1.3742317915994988e+32,5.53749986589713e+31,3650,3749.0,3500.0,90.6746786327223,16.36888236800781,4.6916880734697735e+32,2.3773729132241345e+32,3.75,1.0408665684803853e+33,1603.0,1605.0,132,21.703594760057797
46,211939462,1.3742317915994988e+32,5.53749986589713e+31,3650,3749.0,3500.0,91.5557804428561,17.615895887140343,4.737278032171051e+32,2.4567671770890303e+32,3.75,1.0408665684803853e+33,2232.0,2234.0,132,21.703594760057797
97,211987847,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,247.7821109071379,44.27712069616594,7.216619185615637e+32,3.644685698122974e+32,1.5,1.0954399015221461e+33,637.0,639.0,132,21.703594760057797
55,211946063,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,260.81641509189774,44.606487430194925,7.596241464667657e+32,3.778166984360507e+32,1.2727272727272727,1.1071187653147419e+33,980.0,987.0,132,21.703594760057797
117,212013619,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,188.54680605857675,34.23276375154238,5.491399249959649e+32,2.789125160097593e+32,2.0,1.1261255006467923e+33,1396.0,1398.0,132,21.703594760057797
120,212014492,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,129.15280632477285,23.5607629930929,4.970099157808505e+32,2.5590512771423176e+32,2.3125,1.1347392492942735e+33,2526.0,2528.0,132,21.703594760057797
127,212021253,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,190.6961973297847,36.37534750052182,7.338431403207174e+32,3.839571143512602e+32,1.1764705882352942,1.136543332812725e+33,1536.0,1538.0,132,21.703594760057797
25,211921927,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,118.52751962803072,21.875171624565603,4.561213513232133e+32,2.3582461014183765e+32,1.7272727272727273,1.2130697274392321e+33,2864.0,2866.0,132,21.703594760057797
1,211827220,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,170.53541100411138,31.099334326886602,6.562597644813908e+32,3.3786012194636905e+32,1.6666666666666667,1.2643287602891687e+33,1262.0,1265.0,132,21.703594760057797
95,211987847,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,253.68688069550305,45.08588057312746,7.388594776530388e+32,3.7243644044468215e+32,1.75,1.3745601179696795e+33,306.0,308.0,132,21.703594760057797
126,212019656,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,196.25511432461644,40.781913449460895,7.552351405881103e+32,4.080266686636524e+32,1.75,1.461230568824794e+33,3398.0,3401.0,132,21.703594760057797
47,211939462,1.3742317915994988e+32,5.53749986589713e+31,3650,3749.0,3500.0,137.46802049959706,24.68989020886976,7.11286857573387e+32,3.597700126455177e+32,2.2,1.4726089992951747e+33,2274.0,2276.0,132,21.703594760057797
81,211978983,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,335.6132925602699,60.304757128412916,9.774690017657391e+32,4.946306658720302e+32,1.8333333333333335,1.4868152030402813e+33,2432.0,2434.0,132,21.703594760057797
118,212014492,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,208.15411098863558,37.309712958340654,8.010252360428648e+32,4.098883905085957e+32,1.9500000000000002,1.5410575647405507e+33,615.0,617.0,132,21.703594760057797
111,212011416,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,156.4143130033422,28.685723337562855,6.019185083537705e+32,3.105054819191931e+32,4.333333333333333,1.5751325713330085e+33,2188.0,2190.0,132,21.703594760057797
73,211970517,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,265.3247716650535,46.025696547046394,1.0210311813761012e+33,5.165735485651653e+32,1.1764705882352942,1.6017336335469166e+33,1626.0,1634.0,132,21.703594760057797
71,211958562,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,271.1474166331229,48.98290870217392,1.0434380679746379e+33,5.354030668156469e+32,2.1,1.66346110562999e+33,1200.0,1204.0,132,21.703594760057797
124,212019656,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,240.77142208480691,42.26374855221579,9.265442046368631e+32,4.70683192637189e+32,2.0,1.7109389476216244e+33,2228.0,2238.0,132,21.703594760057797
42,211939462,1.3742317915994988e+32,5.53749986589713e+31,3650,3749.0,3500.0,153.22709534103583,38.86189281868461,7.928274426599647e+32,4.59697061958989e+32,2.375,1.716293068426781e+33,1106.0,1109.0,132,21.703594760057797
45,211939462,1.3742317915994988e+32,5.53749986589713e+31,3650,3749.0,3500.0,157.9904763420182,29.0657365580771,8.174741226026897e+32,4.170494748297138e+32,2.375,1.716293068426781e+33,1711.0,1714.0,132,21.703594760057797
22,211915940,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,349.4718975668887,64.52903815419172,1.0178319942394437e+33,5.2010615957670566e+32,2.692307692307692,1.8567845898995992e+33,2569.0,2570.0,132,21.703594760057797
41,211939462,1.3742317915994988e+32,5.53749986589713e+31,3650,3749.0,3500.0,215.2857713879778,37.5414588476624,1.1139313656681786e+33,5.576079992276328e+32,1.8571428571428572,1.9783517786903535e+33,863.0,865.0,132,21.703594760057797
119,212014492,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,317.238058583945,57.82208162519614,1.2208055346687747e+33,6.283865311411169e+32,1.6,1.993199218850574e+33,2230.0,2232.0,132,21.703594760057797
43,211939462,1.3742317915994988e+32,5.53749986589713e+31,3650,3749.0,3500.0,179.0804151949191,38.85761131777061,9.26597657506131e+32,5.033103466769295e+32,1.8571428571428572,1.9932483846677026e+33,1115.0,1118.0,132,21.703594760057797
54,211945445,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,1074.607785835553,194.17168600522618,3.129780086173844e+33,1.5869161102792326e+33,1.4615384615384615,2.083995331161017e+33,836.0,842.0,132,21.703594760057797
80,211978983,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,464.5721956122689,535.0785774653103,1.3530599960122062e+33,1.9999756799929208e+33,2.0,2.2001982053734877e+33,1684.0,1686.0,132,21.703594760057797
19,211912940,1.3742317915994988e+32,5.53749986589713e+31,3650,3749.0,3500.0,293.65017420241037,52.49006469552689,1.519404359466443e+33,7.672191165324107e+32,1.8571428571428572,2.4824865202452553e+33,3057.0,3064.0,132,21.703594760057797
37,211939094,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,520.4746603565884,91.68305376416862,1.5158751395752746e+33,7.6172664909689e+32,2.5555555555555554,2.4874565029322396e+33,2189.0,2194.0,132,21.703594760057797
129,212027909,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,383.46851508225586,67.70906646116828,1.4756756729418667e+33,7.511690587439597e+32,3.1,2.866889946569227e+33,1101.0,1104.0,132,21.703594760057797
36,211939094,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,634.694996530242,49.967417613728145,1.84854026475341e+33,7.487946527681882e+32,2.272727272727273,3.452616906937408e+33,2082.0,2102.0,132,21.703594760057797
49,211939462,1.3742317915994988e+32,5.53749986589713e+31,3650,3749.0,3500.0,426.15891663107186,74.96114676507308,2.205030926725846e+33,1.1071382660988398e+33,2.125,3.554118856394255e+33,3321.0,3323.0,132,21.703594760057797
83,211980019,1.3742317915994988e+32,5.53749986589713e+31,3650,3749.0,3500.0,544.9295453559251,97.7655776675917,2.819573763457564e+33,1.4255949316346127e+33,1.4,3.6061017307995335e+33,957.0,960.0,132,21.703594760057797
48,211939462,1.3742317915994988e+32,5.53749986589713e+31,3650,3749.0,3500.0,402.075342775025,71.72946583301452,2.0804177293803995e+33,1.0497684599731247e+33,1.3076923076923077,3.7058864512838237e+33,2604.0,2606.0,132,21.703594760057797
136,212171351,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,1080.7786891244612,186.87959388148187,3.147752755348498e+33,1.5715433179314567e+33,1.6666666666666667,3.9913929203559496e+33,1244.0,1256.0,132,21.703594760057797
109,212007343,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,1227.9347260734323,220.3622441638599,3.5763426465384664e+33,1.8089300179261682e+33,1.2727272727272727,4.5351248073659457e+33,270.0,272.0,132,21.703594760057797
91,211982734,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,483.1367494351391,81.65244751898307,1.8592221259487577e+33,9.323417678478923e+32,2.076923076923077,4.7674945217785166e+33,2266.0,2275.0,132,21.703594760057797
79,211978983,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,1828.0797291550757,335.1611468093314,5.324256540537656e+33,2.7137063636163074e+33,1.5384615384615383,6.403639636636585e+33,1275.0,1289.0,132,21.703594760057797
90,211982734,1.091591113123216e+32,3.141851780902868e+31,3550,3749.0,3500.0,682.6844671224067,120.8813271434064,2.627127966977212e+33,1.33860455306937e+33,3.181818181818182,7.287247055521384e+33,2015.0,2023.0,132,21.703594760057797
122,212018862,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,1277.00098663501,228.36837493634758,3.7192474414160117e+33,1.8788842877971122e+33,4.0,7.565259282818599e+33,2797.0,2805.0,132,21.703594760057797
34,211929980,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,1478.111410847118,268.2324239563958,4.3049787278607867e+33,2.1861393177918648e+33,3.166666666666667,8.750889793874428e+33,1045.0,1046.0,132,21.703594760057797
101,211992053,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,1896.1051919596273,333.2835082165717,5.522379745715163e+33,2.772894647015503e+33,2.875,1.5990810416669586e+34,1201.0,1208.0,132,21.703594760057797
103,211994910,8.357184523416163e+31,2.79025363293769e+31,3500,3749.0,3500.0,7027.734922621317,1274.8760317761348,2.046817927587081e+34,1.0392783908536675e+34,2.5,3.4447382551923174e+34,2186.0,2191.0,132,21.703594760057797
