,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,istart,istop,stars_in_bin,tobs
197,212031039,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,496.1775029424139,93.79056807561628,4.871160557924567e+32,2.979456084975281e+32,2.6666666666666665,9.505283836126893e+32,439.0,441.0,164,26.940501178796872
61,211913859,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,207.32673797800356,37.665525033871425,4.4660834734600614e+32,2.758010519421858e+32,2.1666666666666665,1.0073051065856819e+33,450.0,452.0,164,26.940501178796872
148,211983023,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,468.57941561894734,84.10823098408396,4.6002197884479e+32,2.769894348585168e+32,2.444444444444444,1.0579621329304562e+33,2630.0,2632.0,164,26.940501178796872
136,211972472,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,447.3652545419807,75.53859938029427,9.636820553855284e+32,5.8276316615819075e+32,1.1111111111111112,1.0768997989884472e+33,2976.0,2986.0,164,26.940501178796872
46,211905618,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,608.7032902139551,109.72825070148012,5.975868396260714e+32,3.602800503142942e+32,1.3076923076923077,1.0859100634075558e+33,2576.0,2579.0,164,26.940501178796872
114,211949871,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,198.31021330917042,35.64944519745315,4.2718559840187675e+32,2.629922986588189e+32,4.625,1.0994754318634373e+33,2548.0,2550.0,164,26.940501178796872
137,211973218,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,255.3895398933179,46.896992151643644,5.50141778400588e+32,3.4081428030244176e+32,2.6666666666666665,1.1058691072686023e+33,1459.0,1464.0,164,26.940501178796872
28,211898716,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,304.73697133985524,53.59249453311841,6.564424659966405e+32,4.015708892662656e+32,1.6,1.1469236276965642e+33,397.0,402.0,164,26.940501178796872
77,211920850,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,376.6390657704664,67.44624729018918,8.11328786389038e+32,4.989244700098253e+32,1.2,1.1722314168365723e+33,3427.0,3433.0,164,26.940501178796872
200,212035441,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,209.4078129503502,37.57977842020138,4.51091249373826e+32,2.7757032038361444e+32,1.2999999999999998,1.286741608770896e+33,903.0,906.0,164,26.940501178796872
13,211834355,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,336.1082796548242,63.14649176538175,7.240202820432942e+32,4.5160679359608505e+32,4.428571428571429,1.379230862378865e+33,58.0,65.0,164,26.940501178796872
129,211966707,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,1022.7237942943076,181.54569771374886,1.0040462896592834e+33,6.0256624651051475e+32,1.909090909090909,1.3873079528773205e+33,444.0,449.0,164,26.940501178796872
218,212086091,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,843.5080003560373,144.26554461091325,8.281034261452644e+32,4.916089006579019e+32,4.571428571428571,1.391054175596704e+33,1368.0,1372.0,164,26.940501178796872
165,211989060,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,657.6204758724116,115.63860688714176,6.456106746389623e+32,3.8637858802844285e+32,2.75,1.4103215763672333e+33,914.0,916.0,164,26.940501178796872
134,211971468,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,487.5927300831821,86.80499724533585,1.0503371899068845e+33,6.448030959285021e+32,2.692307692307692,1.5572746637189746e+33,2973.0,2976.0,164,26.940501178796872
99,211945119,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,1154.7722769827187,207.3375060289822,1.1336832354682163e+33,6.826749705806807e+32,1.7777777777777777,1.5938083702838832e+33,2522.0,2527.0,164,26.940501178796872
143,211980450,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,1254.5895622743567,220.48007793351795,1.2316776064802696e+33,7.369924914449619e+32,1.8888888888888888,1.6091673409498715e+33,122.0,126.0,164,26.940501178796872
213,212082288,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,492.0364297785595,90.09175429891376,1.0599094881854838e+33,6.560555015209239e+32,4.875,1.6117728700985982e+33,2088.0,2090.0,164,26.940501178796872
175,211998650,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,577.0374083115611,103.92010510877931,5.664992562430857e+32,3.4143955620970544e+32,2.111111111111111,1.6283146985580928e+33,1305.0,1308.0,164,26.940501178796872
194,212021051,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,1020.3865643962356,186.10894133703462,1.0017517434481443e+33,6.060764190465638e+32,3.444444444444444,1.6366682530022255e+33,455.0,458.0,164,26.940501178796872
103,211945362,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,319.1810739269774,56.8734669452322,6.875569129234772e+32,4.222004830013827e+32,4.142857142857142,1.6840353899351548e+33,1665.0,1671.0,164,26.940501178796872
41,211903302,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,1099.6942180564183,200.95994805278156,2.3688821909899652e+33,1.4654261381496347e+33,1.4444444444444444,1.747783578741317e+33,2135.0,2137.0,164,26.940501178796872
95,211935558,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,309.9276526905439,47.2218921341944,6.676238584317867e+32,3.927214670125882e+32,4.375,1.9077660173876488e+33,2442.0,2448.0,164,26.940501178796872
214,212082288,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,334.79003920476686,63.48802885541455,7.211806232778761e+32,4.5110477658563955e+32,4.0,1.9459014950879252e+33,2245.0,2247.0,164,26.940501178796872
125,211958687,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,1398.4574584145332,224.74450862258144,1.372918113571731e+33,8.00870948111876e+32,2.0,1.9540290182262433e+33,733.0,748.0,164,26.940501178796872
171,211993420,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,476.0319471879147,86.63460869958146,1.0254337828826099e+33,6.335813251496584e+32,3.2,2.0410812395228213e+33,995.0,997.0,164,26.940501178796872
166,211989060,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,748.4661875661806,130.81188225374615,7.3479731551547e+32,4.389673511882448e+32,1.9166666666666667,2.0466975820315548e+33,1293.0,1301.0,164,26.940501178796872
217,212086091,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,980.4381997654468,169.68426552246225,9.625329362694416e+32,5.733768129416691e+32,4.833333333333333,2.1014132521331114e+33,202.0,211.0,164,26.940501178796872
193,212021051,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,987.1744699709086,151.07405997429072,9.691461852655727e+32,5.5790140719799935e+32,2.875,2.121896251084302e+33,94.0,106.0,164,26.940501178796872
50,211908029,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,585.0221027234189,107.21027271124505,5.74338130084699e+32,3.4798254868858014e+32,2.7272727272727275,2.1487723115787924e+33,913.0,915.0,164,26.940501178796872
42,211903302,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,594.1945623790574,107.22744383836503,1.279971189891817e+33,7.888870077486481e+32,1.5,2.4194227271974452e+33,2494.0,2496.0,164,26.940501178796872
190,212017838,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,558.1044379243993,93.88875317066235,1.2022284395094878e+33,7.262677648084002e+32,2.8,2.4814441120710627e+33,3142.0,3145.0,164,26.940501178796872
