,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,istart,istop,stars_in_bin,tobs
314,211051985,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,324.7473261962796,58.06620870063102,3.1881662455026188e+32,1.9174595658983585e+32,2.2857142857142856,8.784048435115903e+32,1632.0,1634.0,195,30.864210206099326
346,211059767,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,155.85949378008087,63.7084617937372,3.347428729166675e+32,2.8268394256242224e+32,2.0,9.105706739894012e+32,1985.0,1987.0,195,30.864210206099326
527,211113286,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,360.3096463161065,69.06731471661436,3.537294874045242e+32,2.173012370370642e+32,3.5,9.117880984409765e+32,1103.0,1105.0,195,30.864210206099326
6,210866482,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,416.8785223036035,85.0878440746549,4.092652736669663e+32,2.5650005639766065e+32,3.666666666666667,9.171267766244041e+32,1291.0,1293.0,195,30.864210206099326
176,211018106,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,412.1171347757147,75.09281065735864,4.04590841031608e+32,2.4471202079941246e+32,2.6666666666666665,9.259395119938227e+32,687.0,689.0,195,30.864210206099326
510,211103222,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,227.97851788686987,41.357933096327436,4.896344918739097e+32,3.0217138614838827e+32,2.1,9.272469091017285e+32,2536.0,2538.0,195,30.864210206099326
47,210927331,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,141.24927018687552,243.78224095041384,3.0336417341668575e+32,6.557598831599192e+32,2.0,9.314654679141907e+32,2205.0,2209.0,195,30.864210206099326
341,211059754,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,332.4760836688579,61.23678438802269,3.2640423550378744e+32,1.9806535098250507e+32,4.666666666666667,9.353792852733446e+32,2451.0,2453.0,195,30.864210206099326
155,211012609,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,164.3887995997713,23.672399532230585,3.530614511747018e+32,2.0467947293749946e+32,3.0,9.368390851804905e+32,1692.0,1696.0,195,30.864210206099326
255,211035282,6.761763726573059e+31,2.257582772077468e+31,3410,3499.0,3250.0,224.7930440173562,39.832276366007825,4.827929793755658e+32,2.959136807748574e+32,1.5833333333333335,9.51484394757506e+32,1635.0,1637.0,195,30.864210206099326
23,210882573,3.388909656562385e+31,2.926219821264045e+31,3250,3499.0,3250.0,280.6994136047579,49.9435361150486,2.755731374509221e+32,1.654958040644739e+32,1.8333333333333335,9.569392530657815e+32,1058.0,1060.0,195,30.864210206099326
