,EPIC,Tmax,Tmin,alpha,alpha_err,beta,beta_err,cluster,count_per_yr,high_yerr,istart,istop,logE,low_yerr,maxenerg,n_obj,nflares,tobs
413,211074858,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7780560643488859,0.0754582853482395,1235.0,1251.0,33.06970796764649,0.09138473680121884,2.137683048810364e+34,198,269,31.340201536238503
402,211070577,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7757398216217049,0.07562145439317103,1604.0,1606.0,33.071730777572604,0.09162444463604702,2.137683048810364e+34,198,269,31.340201536238503
360,211059979,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7734111593031223,0.07562283527151381,2978.0,2981.0,33.07383687309741,0.09162647420131753,2.137683048810364e+34,198,269,31.340201536238503
0,210832378,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7710699434882196,0.07593127749879525,739.0,741.0,33.074392351163795,0.09208021122611765,2.137683048810364e+34,198,269,31.340201536238503
467,211086387,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7687160380947422,0.07598506130931515,1052.0,1055.0,33.075748029232805,0.09215941202257127,2.137683048810364e+34,198,269,31.340201536238503
236,211030057,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7663493048156351,0.076302132805389,535.0,539.0,33.07621556411597,0.09262681761286773,2.137683048810364e+34,198,269,31.340201536238503
417,211077649,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7639696030702805,0.07654858633505768,1943.0,1946.0,33.077023671024975,0.09299070680544563,2.137683048810364e+34,198,269,31.340201536238503
72,210971348,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7615767899543904,0.07679734825866413,130.0,132.0,33.08162537906894,0.09335852353781116,2.137683048810364e+34,198,269,31.340201536238503
264,211035282,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7591707201885118,0.07712329127919215,2204.0,2206.0,33.08163783397511,0.09384125086026351,2.137683048810364e+34,198,269,31.340201536238503
521,211103431,3499.0,3250.0,-2.1399054604196186,0.027763860097925464,38.45912650109509,0.9215612270367136,Pleiades,0.7567512460650991,0.07716144232424638,2867.0,2869.0,33.08397203743892,0.09389781202407166,2.137683048810364e+34,198,269,31.340201536238503
