,EPIC,L_bol,L_bol_err,Teff,Tmax,Tmin,clustered,clusterederr,clusterenergy,clusterenergy_err,count_true,energ_true,istart,istop,stars_in_bin,tobs
1538,211129321.0,8.357184523416163e+31,2.79025363293769e+31,3500.0,7000.0,3000.0,144.57485893070876,27.480007204453372,4.212174833829428e+32,2.1752710868089036e+32,1.7999999999999998,8.828220728608001e+32,1251.0,1253.0,759,107.70600064643702
331,211004548.0,2.5945377341929524e+31,2.240303966236216e+31,3200.0,7000.0,3000.0,628.8606703092626,111.14673915681924,4.337995679409878e+32,2.324502924079982e+32,2.8,8.858055094267008e+32,1019.0,1022.0,759,107.70600064643702
811,211056608.0,1.950113960413546e+31,6.95997016907608e+30,3100.0,7000.0,3000.0,305.40372245934515,60.048435425858045,1.5141920989164994e+32,8.859086141372925e+31,3.0,8.881928417232418e+32,732.0,735.0,759,107.70600064643702
32,210872505.0,1.091591113123216e+32,3.141851780902868e+31,3550.0,7000.0,3000.0,111.129641860386,19.76258503469288,4.3112770606558916e+32,2.200667708583873e+32,3.5,8.904943066722554e+32,1372.0,1374.0,759,107.70600064643702
1239,211089510.0,2.5945377341929524e+31,2.240303966236216e+31,3200.0,7000.0,3000.0,536.8735033807468,97.42989594933418,3.703451413029193e+32,2.0020141303162088e+32,4.0,8.947202884000586e+32,482.0,485.0,759,107.70600064643702
351,211005799.0,2.5945377341929524e+31,2.240303966236216e+31,3200.0,7000.0,3000.0,771.2568424762394,139.1656795700053,5.320270464253824e+32,2.87052168142053e+32,1.7142857142857142,8.96340476614342e+32,107.0,110.0,759,107.70600064643702
178,210963935.0,1.3742317915994988e+32,5.53749986589713e+31,3650.0,7000.0,3000.0,104.4111735186979,19.64682163158643,5.421406101364159e+32,2.7889770910167047e+32,1.3333333333333333,9.037389297918475e+32,2247.0,2250.0,759,107.70600064643702
841,211059767.0,6.761763726573059e+31,2.257582772077468e+31,3410.0,7000.0,3000.0,155.85949378008087,63.7084617937372,3.347428729166675e+32,2.8268394256242224e+32,2.0,9.105706739894012e+32,1985.0,1987.0,759,107.70600064643702
1437,211113286.0,3.388909656562385e+31,2.926219821264045e+31,3250.0,7000.0,3000.0,360.3096463161065,69.06731471661436,3.537294874045242e+32,2.173012370370642e+32,3.5,9.117880984409765e+32,1103.0,1105.0,759,107.70600064643702
218,210974237.0,1.3742317915994988e+32,5.53749986589713e+31,3650.0,7000.0,3000.0,94.60607868300762,17.000950871113236,4.912290082692593e+32,2.4854845424731482e+32,1.7999999999999998,9.135773305239405e+32,2774.0,2777.0,759,107.70600064643702
1567,211139723.0,8.357184523416163e+31,2.79025363293769e+31,3500.0,7000.0,3000.0,245.8073149753322,44.922818835592714,7.161572861063706e+32,3.646002093568144e+32,1.8888888888888888,9.143675341343753e+32,1239.0,1243.0,759,107.70600064643702
1467,211118414.0,2.5945377341929524e+31,2.240303966236216e+31,3200.0,7000.0,3000.0,675.9661350954383,107.4270624214283,4.662937772892258e+32,2.4155319828620747e+32,1.8571428571428572,9.152418009887841e+32,1354.0,1360.0,759,107.70600064643702
24,210866482.0,3.388909656562385e+31,2.926219821264045e+31,3250.0,7000.0,3000.0,416.8785223036035,85.0878440746549,4.092652736669663e+32,2.5650005639766065e+32,3.666666666666667,9.171267766244041e+32,1291.0,1293.0,759,107.70600064643702
606,211033487.0,8.357184523416163e+31,2.79025363293769e+31,3500.0,7000.0,3000.0,163.4741641147184,29.33679407064721,4.762804301924578e+32,2.4090663783061717e+32,3.2,9.25518622909397e+32,622.0,624.0,759,107.70600064643702
608,211033487.0,8.357184523416163e+31,2.79025363293769e+31,3500.0,7000.0,3000.0,160.1422236299848,33.96182264151106,4.665728531203343e+32,2.5121354605901458e+32,3.2,9.25518622909397e+32,2142.0,2144.0,759,107.70600064643702
473,211018106.0,3.388909656562385e+31,2.926219821264045e+31,3250.0,7000.0,3000.0,412.1171347757147,75.09281065735864,4.04590841031608e+32,2.4471202079941246e+32,2.6666666666666665,9.259395119938227e+32,687.0,689.0,759,107.70600064643702
