EPIC,angDist,gmag,rmag,imag,zmag,ymag,J,H,K,RAJ2000,DEJ2000,spec_class,T,logT,BCv,Mv,logL,B-V,Bt-Vt,V-G,U-B,V-Rc,V-Ic,V-Ks,J-H,H-K,Ks-W1,W1-W2,W1-W3,W1-W4,Msun,logAge,b-y,M_J,M_Ks,Mbol,i-z,z-Y,R_Rsun,#SpT.1,lum_class,u_g,g_r,r_i,i_z,z_J,J_H,H_K,Jmag_abs,T_err,R_Rsun_err,Mbol_err,L_quiet,L_quiet_bol,L_quiet_err,L_quiet_bol_err,g_z,g_i,J_K,r_z,J-K
211076650,0.666241,15.1599,13.9077,13.078,12.744,12.7581,11.331,10.678,10.471,55.67467219,24.19929371,M2.5,3500,3.544,-1.76,10.7,-1.68,1.522,,1.179,1.175,1.041,2.306,4.43,0.589,0.244,0.117,,,,0.44,,,7.01,6.27,8.94,0.57,,0.393,M2.5V,V  ,2.74,1.47,1.01,0.63,1.32,0.66,0.18,6.51,70.9459888433411,0.0786,0.145,8.91215555189887E+029,2.42287620280395E+029,2.89975291420029E+029,8.08937400878224E+028,2.4159,2.0819,0.860000000000001,1.1637,0.860000000000001
211076761,0.884714,19.9098,18.526,16.7132,15.851,15.456,14.083,13.446,13.24,57.14794847,24.20071049,M4.5,3100,3.491,-3.05,13.57,-2.31,1.72,,,1.23,1.345,3.073,5.64,0.564,0.301,,,,,0.18,,,8.79,7.93,10.52,0.81,,0.243,M4.5V,,,,,,,,,,85.440037450959,0.0486,0.154999999999999,1.4956048424712E+029,6.37281372456024E+027,5.80173368171505E+028,2.27446161180303E+027,4.0588,3.1966,0.843,2.675,0.843
211077349,0.684287,17.0385,15.758,14.5928,14.0379,13.7575,12.512,11.841,11.61,55.51201975,24.20991821,M2.5,3500,3.544,-1.76,10.7,-1.68,1.522,,1.179,1.175,1.041,2.306,4.43,0.589,0.244,0.117,,,,0.44,,,7.01,6.27,8.94,0.57,,0.393,M2.5V,V  ,2.74,1.47,1.01,0.63,1.32,0.66,0.18,6.51,70.9459888433411,0.0786,0.145,8.91215555189887E+029,2.42287620280395E+029,2.89975291420029E+029,8.08937400878224E+028,3.0006,2.4457,0.902000000000001,1.7201,0.902000000000001
211077464,0.758702,17.3129,16.0745,14.8062,14.2118,13.9621,12.717,12.054,11.836,57.16635517,24.21173087,M3,3410,3.533,-1.97,11.14,-1.78,1.544,,1.263,1.181,1.079,2.42,4.6,0.579,0.252,0.122,,,,0.39,,,7.4,6.54,9.17,0.61,,0.369,M3V,V  ,2.67,1.46,1.2,0.67,1.37,0.65,0.2,6.77,126.622799420003,0.0738,0.145,6.4844888093294E+029,1.42669527973314E+029,2.81658297729002E+029,4.76337656086982E+028,3.1011,2.5067,0.881,1.8627,0.881
211077607,0.753273,20.1899,18.8723,17.0188,16.1965,15.7911,14.44,13.863,13.571,55.93141729,24.2137751,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.9934,3.1711,0.869,2.6758,0.869
211077649,0.778824,18.5981,17.2602,15.7714,15.0182,14.6781,13.329,12.733,12.427,56.19941825,24.21446839,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.5799,2.8267,0.902000000000001,2.242,0.902000000000001
211077682,0.744861,20.1082,18.7903,16.9547,16.1098,15.6947,14.362,13.7,13.452,54.98010809,24.21491417,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.9984,3.1535,0.91,2.6805,0.91
211077833,0.829848,20.1183,18.8316,16.984,16.1429,15.7164,14.371,13.812,13.541,55.02968108,24.21746757,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.9754,3.1343,0.83,2.6887,0.83
211078145,0.667188,18.3926,17.1717,15.6207,14.8821,14.5343,13.233,12.607,12.348,55.98873648,24.22219441,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.5105,2.7719,0.885,2.2896,0.885
211078239,0.617886,18.0655,16.7881,15.1947,14.4367,14.068,12.697,12.147,11.842,56.47921654,24.22375017,M4,3200,3.505,-2.59,12.8,-2.2,1.661,,,1.222,1.241,2.831,5.25,0.557,0.282,0.139,,,,0.22,,,8.39,7.55,10.21,0.71,,0.258,M4V,V  ,3.13,1.48,1.51,0.76,1.56,0.63,0.23,7.06,76.3762615801244,0.0516,0.375,1.99622881378631E+029,1.30116155957454E+028,7.16779018986642E+028,1.12351320399495E+028,3.6288,2.8708,0.854999999999999,2.3514,0.854999999999999
